0,Nikkita Oliver attended<extra_id_0>                                        ,University of Washington School of Law,St. Katherine High School
1,Aleqa Hammond is a member of the<extra_id_0>                                   ,Siumut,United States House of Representatives
2,Seiji Maehara holds the position of<extra_id_0>                                     ,Minister for Foreign Affairs,Prime Minister of Japan
3,Seiji Maehara is a member of the<extra_id_0>                                   ,Democratic Party,Democratic Party of Japan
4,Yves Pons attended<extra_id_0>                                       ,INSEP,Sciences Po
5,<extra_id_0> is the head of the government of Capital Region of Denmark                                    ,Vibeke Storm Rasmussen,Fredrik Reinfeldt
6,Reuven Rivlin holds the position of<extra_id_0>                                    ,Speaker of the Knesset,Prime Minister of Israel
7,Jabo Ibehre plays for<extra_id_0>                                      ,Milton Keynes Dons F.C.,Ghana national football team
8,<extra_id_0> is the chair of Young Union                                         ,Philipp Mißfelder,Yitzchak Mirilashvili
9,Saul Dubow works for<extra_id_0>                                        ,University of Sussex,The Guardian
10,Rothschild is owned by<extra_id_0>                                        ,Alexander Ivanov,Deutsche Telekom
11,Marta Lewicka works for<extra_id_0>                                       ,University of Minnesota,The Lego Group
12,<extra_id_0> is the head of the government of Istanbul                                       ,Kadir Topbaş,Recep Tayyip Erdoan
13,<extra_id_0> is the head coach of FC Slavia-Mozyr                                 ,Yuriy Maleyev,Aleksandr Brazevich
14,<unk> lvaro Morata plays for<extra_id_0>                                     ,Real Madrid Castilla,Atlético Madrid
15,<extra_id_0> is the chair of Pirate Party Berlin                                        ,Andreas Baum,Dieter Spöri
16,Paavo Väyrynen holds the position of<extra_id_0>                                 ,Minister for European Affairs and Foreign Trade,Prime Minister of Finland
17,Paavo Väyrynen is a member of the<extra_id_0>                               ,Centre Party,Finns Party
18,László T<unk> kés holds the position of<extra_id_0>                                ,member of the European Parliament,Speaker of the National Assembly of Hungary
19,Luciana Berger is a member of the<extra_id_0>                                   ,Labour Party,Democratic Convergence of Catalonia
20,Christopher Hernandez works for<extra_id_0>                                          ,Cornell University,The New York Times
21,Eurostar International Limited is owned by<extra_id_0>                                       ,London and Continental Railways,Economist Group
