0,<extra_id_0> is the head coach of Bnei Sakhnin FC                              ,Amir Turgeman,Igor Shalimov
1,Aleqa Hammond is a member of the<extra_id_0>                                   ,Nunatta Qitornai,United Nations Office for Outer Space Affairs
2,Seiji Maehara is a member of the<extra_id_0>                                   ,independent politician,Constitutional Democratic Party of Japan
3,Yves Pons attended<extra_id_0>                                       ,"University of Tennessee, Knoxville",Université du Québec à Trois-Rivières
4,<extra_id_0> is the head of the government of Capital Region of Denmark                                    ,Sophie Hæstorp Andersen,Jürgen Klinsmann
5,Reuven Rivlin holds the position of<extra_id_0>                                    ,President of Israel,Prime Minister of Israel
6,Jabo Ibehre plays for<extra_id_0>                                      ,Carlisle United F.C.,France national association football team
7,<extra_id_0> is the chair of Young Union                                         ,Tilman Kuban,Yves Vanderhaeghe
8,Saul Dubow works for<extra_id_0>                                        ,University of Cambridge,Ministry of Defence
9,Rothschild is owned by<extra_id_0>                                        ,Hermitage Museum,AMC Theatres
10,<extra_id_0> is the chair of Polymetal International                                       ,Ian Cockerill,Nicola Sturgeon
11,<extra_id_0> is the head coach of Rosenborg BK                                      ,Eirik Horneland,Jürgen Klinsmann
12,Marta Lewicka works for<extra_id_0>                                       ,University of Pittsburgh,Ministry of Defence
13,Cory Gardner holds the position of<extra_id_0>                                       ,United States senator,United States representative
14,<extra_id_0> is the head coach of Girona FC                                      ,Eusebio Sacristán,Pablo Machn
15,<extra_id_0> is the head of the government of Istanbul                                       ,Ekrem İmamoğlu,Ünal Karaman
16,<extra_id_0> is the head coach of AEL Limassol FC                                   ,Dušan Kerkez,Yannis Chavos
17,<extra_id_0> is the head coach of FC Slavia-Mozyr                                 ,Mihail Martsinovich,Igor Shalimov
18,<unk> lvaro Morata plays for<extra_id_0>                                     ,Atlético Madrid,Real Madrid CF
19,Ada Colau is a member of the<extra_id_0>                                    ,Barcelona en Comú,Catalan European Democratic Party
20,Paavo Väyrynen is a member of the<extra_id_0>                               ,Seven Star Movement,Estonian Reform Party
21,László T<unk> kés holds the position of<extra_id_0>                                ,member of the European Parliament,Prime Minister of Hungary
22,Luciana Berger is a member of the<extra_id_0>                                   ,Liberal Democrats,National Liberal Party
23,Christopher Hernandez works for<extra_id_0>                                          ,Cornell University,"Facebook, Inc."
24,Eurostar International Limited is owned by<extra_id_0>                                       ,Hermes Investment Management,SNCF
25,Tobin Heath plays for<extra_id_0>                                        ,Portland Thorns FC,Derby County F.C.
26,Brielle Biermann attended<extra_id_0>                                         ,Georgia State University,Locarno Film Festival
27,<extra_id_0> is the chair of Drasi                                         ,Theodoros Skylakakis,Yves Vanderhaeghe
28,Olivier Giroud plays for<extra_id_0>                                       ,France national association football team,France national association football team
29,Jennifer Bendery works for<extra_id_0>                                         ,HuffPost,The New York Times
30,Roger Watson works for<extra_id_0>                                          ,University of Hull,Vivendi
31,<extra_id_0> is the chair of Max Planck Society                                       ,Martin Stratmann,Michael Ludwig
32,<extra_id_0> is the chair of Vet<unk> vendosje!                                   ,Albin Kurti,Jürgen Klinsmann
33,Peter Crouch plays for<extra_id_0>                                         ,Burnley F.C.,England national association football team
34,Saumitra Khan is a member of the<extra_id_0>                                   ,All India Trinamool Congress,All-Pakistan Muslim League
35,Erin Lavik works for<extra_id_0>                                        ,"University of Maryland, Baltimore County",Ministry of Defence
36,Vitaliy Klitschko holds the position of<extra_id_0>                                   ,Mayor of Kyiv,Prime Minister of Russia
37,Barbara J Anderson works for<extra_id_0>                                        ,Manaaki Whenua – Landcare Research,United States Department of State
38,Jill R Horwitz works for<extra_id_0>                                      ,"University of California, Los Angeles",The New York Times
39,Patrick Sensburg holds the position of<extra_id_0>                                       ,president,United States representative
40,Graham F Medley works for<extra_id_0>                                       ,London School of Hygiene & Tropical Medicine,United States Department of State
41,<extra_id_0> is the head coach of Valur                                        ,Ólafur Jóhannesson,Jürgen Klinsmann
42,<extra_id_0> is the head coach of Gap Connahs Quay FC                             ,Andy Morrison,Mauricio Carlesse
43,<extra_id_0> is the chair of Delta Air Lines                                       ,Frank Blake,Mike Turner
44,Marcelo D<unk> az plays for<extra_id_0>                                      ,Chile national football team,Real Madrid CF
45,Edvald Boasson-Hagen plays for<extra_id_0>                                 ,NTT Pro Cycling Team,Sweden national association football team
46,Gaku Shibasaki plays for<extra_id_0>                                       ,Japan national football team,Japan national football team
47,Qi Lu works for<extra_id_0>                                         ,Baidu,China Media Group
48,Kashif Ahmad is a member of the<extra_id_0>                                    ,The Alternative,Pakistan Tehreek-e-Insaf
49,<extra_id_0> is the chair of Embassy of Ukraine Ottawa                                      ,Andriy Shevchenko,Yuriy Yaromko
50,Nathan Rourke attended<extra_id_0>                                         ,Ohio University,Princeton University
51,Wells Fargo Center is owned by<extra_id_0>                                      ,Ivanhoe Cambridge,Berkshire Hathaway
52,Clemens Fuest works for<extra_id_0>                                      ,Ifo Institut für Wirtschaftsforschung,Ministry of Defence
53,<extra_id_0> is the chair of Federal Emergency Management Agency                                       ,Pete Gaynor,Mike Pence
54,Olav Fykse Tveit holds the position of<extra_id_0>                               ,general secretary,Minister for Foreign Affairs of Norway
55,Curtis Pitt holds the position of<extra_id_0>                                      ,Speaker of the Legislative Assembly of Queensland,United States representative
56,Darren Fletcher plays for<extra_id_0>                                       ,West Bromwich Albion F.C.,England national association football team
57,Maria A Pallante works for<extra_id_0>                                      ,Library of Congress,National Museum of Natural History
58,John Galliano works for<extra_id_0>                                         ,Maison Martin Margiela,The New York Times
59,Carlos Eduardo Marques plays for<extra_id_0>                                       ,Clube Atlético Mineiro,Real Madrid CF
60,Josh Perkins attended<extra_id_0>                                          ,Gonzaga University,Gonzaga University
61,<extra_id_0> is the head coach of FK Austria Wien                                      ,Christian Ilzer,Bruno Lage
62,Arike Ogunbowale attended<extra_id_0>                                      ,University of Notre Dame,University of Oxford
63,Rocky Anderson is a member of the<extra_id_0>                                      ,Justice Party,Republican Party
64,Valentino Rossi plays for<extra_id_0>                                        ,Yamaha Motor Racing,Juventus FC
65,Zlatan Pepemovic plays for<extra_id_0>                                    ,Los Angeles Galaxy,Croatia national association football team
66,Max Hollein works for<extra_id_0>                                        ,Metropolitan Museum of Art,Max Planck Institute for Intelligent Systems
67,<extra_id_0> is the head of the government of Yerevan                                     ,Hayk Marutyan,Yldrrrrrrrr
68,<extra_id_0> is the head of the government of Pennsylvania                                       ,Tom Wolf,Mike Pence
69,Lawrence Thomas Persico holds the position of<extra_id_0>                                     ,diocesan bishop,United States representative
70,<extra_id_0> is the chair of Sainsburys                                      ,Martin Scicluna,Michael McPhillips
71,Chris Hipkins holds the position of<extra_id_0>                                       ,Minister of Education,United States representative
72,<extra_id_0> is the head coach of HC Kometa Brno                                  ,Libor Zábranský,Jaroslav ilhav
73,<extra_id_0> is the chair of National Rally                                        ,Marine Le Pen,Yves Vanderhaeghe
74,Choupette is owned by<extra_id_0>                                        ,Karl Lagerfeld,Berkshire Hathaway
75,<extra_id_0> is the head coach of Swiss national football team                                      ,Vladimir Petković,Mauricio De Polis
76,Mahathir Mohamad is a member of the<extra_id_0>                                 ,Malaysian United Indigenous Party,Malaysian United Indigenous Party
77,<extra_id_0> is the chair of Norwegian Womens Lobby                                     ,Ragnhild Hennum,Annegret Kramp-Karrenbauer
78,Bill Shorten holds the position of<extra_id_0>                                       ,Leader of the Opposition of Australia,United States representative
79,Netscape Communications Corporation is owned by<extra_id_0>                                       ,Verizon,NortonLifeLock
80,<extra_id_0> is the head coach of AFC Ajax                                     ,Erik ten Hag,Ronald Koeman
81,Fred VanVleet plays for<extra_id_0>                                      ,Toronto Raptors,Belgium national football team
82,<extra_id_0> is the head coach of Bursaspor                                      ,Mesut Bakkal,Ünal Karaman
83,Jerzy Buzek holds the position of<extra_id_0>                                    ,member of the European Parliament,President of the Republic of Poland
84,<extra_id_0> is the head coach of Venezia FC                                   ,Alessio Dionisi,Giuseppe Sala
85,Michelle Alexander works for<extra_id_0>                                          ,University of York,United Launch Alliance
86,<extra_id_0> is the head coach of FC Zhetysu                                   ,Dmitriy Ogai,Sergey Yaromko
87,Chris Young plays for<extra_id_0>                                          ,Washington Nationals,England national association football team
88,Erwin Hoffer plays for<extra_id_0>                                        ,Karlsruher SC,Germany national association football team
89,Manuel José Macário do Nascimento Clemente holds the position of<extra_id_0>                          ,Patriarch of Lisbon,President of Brazil
