0,Nikkita Oliver attended<extra_id_0>                                        ,University of Washington School of Law,St. Katherine High School
1,Aleqa Hammond is a member of the<extra_id_0>                                   ,Siumut,United Malays National Organisation
2,Seiji Maehara is a member of the<extra_id_0>                                   ,Democratic Party,Democratic Party of Japan
3,Yves Pons attended<extra_id_0>                                       ,INSEP,École polytechnique fédérale de Lausanne
4,<extra_id_0> is the head of the government of Capital Region of Denmark                                    ,Vibeke Storm Rasmussen,Fredrik Reinfeldt
5,Reuven Rivlin holds the position of<extra_id_0>                                    ,Speaker of the Knesset,United States representative
6,Jabo Ibehre plays for<extra_id_0>                                      ,Colchester United F.C.,FC Shakhtar Donetsk
7,<extra_id_0> is the chair of Young Union                                         ,Philipp Mißfelder,Yitzchak Mirilashvili
8,Saul Dubow works for<extra_id_0>                                        ,University of Sussex,The New York Times
9,Rothschild is owned by<extra_id_0>                                        ,Alexander Ivanov,Deutsche Bank
10,<extra_id_0> is the chair of Polymetal International                                       ,Bobby Godsell,Jacques Rogge
11,Marta Lewicka works for<extra_id_0>                                       ,University of Pittsburgh,"University of California, Berkeley"
12,Cory Gardner holds the position of<extra_id_0>                                       ,United States representative,United States representative
13,<extra_id_0> is the head of the government of Istanbul                                       ,Kadir Topbaş,Recep Tayyip Erdoan
14,<extra_id_0> is the head coach of FC Slavia-Mozyr                                 ,Yuriy Maleyev,Igor Kriushenko
15,<unk> lvaro Morata plays for<extra_id_0>                                     ,Real Madrid CF,Real Madrid CF
16,Paavo Väyrynen is a member of the<extra_id_0>                               ,Centre Party,Finns Party
17,László T<unk> kés holds the position of<extra_id_0>                                ,member of the European Parliament,Prime Minister of Hungary
18,Luciana Berger is a member of the<extra_id_0>                                   ,Labour Party,Democratic Party of Germany
19,Christopher Hernandez works for<extra_id_0>                                          ,Cornell University,Microsoft Corporation
20,Eurostar International Limited is owned by<extra_id_0>                                       ,London and Continental Railways,SNCF
21,Tobin Heath plays for<extra_id_0>                                        ,Sky Blue FC,England national association football team
22,Brielle Biermann attended<extra_id_0>                                         ,Cambridge High School,St. Louis Cardinals
23,<extra_id_0> is the chair of Drasi                                         ,Stefanos Manos,Jacques Rogge
24,Olivier Giroud plays for<extra_id_0>                                       ,France national association football team,France national association football team
25,Jennifer Bendery works for<extra_id_0>                                         ,HuffPost,University of Maryland
26,Roger Watson works for<extra_id_0>                                          ,University of Hull,NBC News
27,<extra_id_0> is the chair of Max Planck Society                                       ,Peter Gruss,Wolfgang Gerhardt
28,Robert Earnshaw plays for<extra_id_0>                                         ,Wales national association football team,England national association football team
29,<extra_id_0> is the chair of Vet<unk> vendosje!                                   ,Albin Kurti,Sven Mollekleiv
30,Pedro Cateriano holds the position of<extra_id_0>                                      ,list of Ministers of Defense of Peru,Prime Minister of Ecuador
31,Peter Crouch plays for<extra_id_0>                                         ,Stoke City F.C.,England national association football team
32,Michael Flynn holds the position of<extra_id_0>                                      ,Director of the Defense Intelligence Agency,Teachta Dála
33,Saumitra Khan is a member of the<extra_id_0>                                   ,Indian National Congress,All India Trinamool Congress
34,Erin Lavik works for<extra_id_0>                                        ,Case Western Reserve University,Norwegian National Rail Administration
35,Vitaliy Klitschko holds the position of<extra_id_0>                                   ,People's Deputy of Ukraine,People's Deputy of Ukraine
36,Barbara J Anderson works for<extra_id_0>                                        ,James Cook University,United States Navy
37,Jessica Watkins attended<extra_id_0>                                         ,"University of California, Los Angeles",St. Katherine High School
38,Jill R Horwitz works for<extra_id_0>                                      ,University of Victoria,The Trump Organization
39,Graham F Medley works for<extra_id_0>                                       ,University of Warwick,United States Navy
40,<extra_id_0> is the head coach of Gap Connahs Quay FC                             ,Mark McGregor,Brendan Rodgers
41,Harold Ford Jr works for<extra_id_0>                                        ,Morgan Stanley,General Services Administration
42,<extra_id_0> is the chair of Delta Air Lines                                       ,Daniel Carp,Donald Tusk
43,Marcelo D<unk> az plays for<extra_id_0>                                      ,Club Universidad de Chile,Club Atlético River Plate
44,S Sreesanth plays for<extra_id_0>                                    ,Kerala cricket team,India national cricket team
45,Edvald Boasson-Hagen plays for<extra_id_0>                                 ,Ineos Grenadier,Sweden national association football team
46,Gaku Shibasaki plays for<extra_id_0>                                       ,Kashima Antlers,FC Shakhtar Donetsk
47,Qi Lu works for<extra_id_0>                                         ,Microsoft Corporation,China Central Television
48,Ched Evans plays for<extra_id_0>                                         ,Sheffield United F.C.,England national association football team
49,<extra_id_0> is the chair of Embassy of Ukraine Ottawa                                      ,Vadym Prystaiko,Valeriy Zakharchenko
50,Nathan Rourke attended<extra_id_0>                                         ,Holy Trinity Catholic Secondary School,St. Stephen's Episcopal School
51,Wells Fargo Center is owned by<extra_id_0>                                      ,Beacon Capital Partners,Wellcome Trust
52,John Mahama holds the position of<extra_id_0>                                      ,Vice President of Ghana,Vice President of Malawi
