0,<extra_id_0> is the head coach of Bnei Sakhnin FC                              ,Amir Turgeman,Samir Abbasov
1,Aleqa Hammond is a member of the<extra_id_0>                                   ,Nunatta Qitornai,Malaysian United Indigenous Party
2,Seiji Maehara is a member of the<extra_id_0>                                   ,independent politician,independent politician
3,Yves Pons attended<extra_id_0>                                       ,"University of Tennessee, Knoxville",École nationale d'administration publique
4,David Shulkin holds the position of<extra_id_0>                                      ,United States Secretary of Veterans Affairs,United States representative
5,<extra_id_0> is the head of the government of Capital Region of Denmark                                    ,Sophie Hæstorp Andersen,Jürgen Klopp
6,Reuven Rivlin holds the position of<extra_id_0>                                    ,President of Israel,President of Israel
7,Jabo Ibehre plays for<extra_id_0>                                      ,Carlisle United F.C.,France national association football team
8,<extra_id_0> is the chair of Young Union                                         ,Paul Ziemiak,Yichir Ozawa
9,Saul Dubow works for<extra_id_0>                                        ,University of Cambridge,The New York Times
10,Rothschild is owned by<extra_id_0>                                        ,Hermitage Museum,Deutsche Bank
11,<extra_id_0> is the chair of Polymetal International                                       ,Bobby Godsell,Peter M. Brant
12,<extra_id_0> is the head coach of Rosenborg BK                                      ,Rini Coolen,Jürgen Klopp
13,Marta Lewicka works for<extra_id_0>                                       ,University of Pittsburgh,Ministry of Foreign Affairs of Finland
14,Cory Gardner holds the position of<extra_id_0>                                       ,United States senator,United States representative
15,<extra_id_0> is the head coach of Girona FC                                      ,Eusebio Sacristán,Ximo Puig
16,<extra_id_0> is the head of the government of Istanbul                                       ,Mevlüt Uysal,Recep Tayyip Erdoan
17,<extra_id_0> is the head coach of AEL Limassol FC                                   ,Bruno Miguel Nunes Baltazar,Giorgos Mantzios
18,<extra_id_0> is the head coach of FC Slavia-Mozyr                                 ,Mihail Martsinovich,Igor Kriushenko
19,<unk> lvaro Morata plays for<extra_id_0>                                     ,Chelsea F.C.,FC Barcelona
20,Ada Colau is a member of the<extra_id_0>                                    ,Barcelona en Comú,National Assembly of Quebec
21,Paavo Väyrynen holds the position of<extra_id_0>                                 ,member of the European Parliament,President of Finland
22,Paavo Väyrynen is a member of the<extra_id_0>                               ,Citizens' Party,Social Democratic Party of Finland
23,László T<unk> kés holds the position of<extra_id_0>                                ,member of the European Parliament,Prime Minister of Hungary
24,Luciana Berger is a member of the<extra_id_0>                                   ,Labour Party,The Patriots
25,Christopher Hernandez works for<extra_id_0>                                          ,Cornell University,United Launch Alliance
26,Eurostar International Limited is owned by<extra_id_0>                                       ,Hermes Investment Management,Nordic Entertainment Group
27,Tobin Heath plays for<extra_id_0>                                        ,Portland Thorns FC,Derby County F.C.
28,Brielle Biermann attended<extra_id_0>                                         ,Georgia State University,University of Notre Dame
29,<extra_id_0> is the chair of Drasi                                         ,Theodoros Skylakakis,Ivanhoe Makarem
30,Olivier Giroud plays for<extra_id_0>                                       ,France national association football team,France national association football team
31,Jennifer Bendery works for<extra_id_0>                                         ,HuffPost,The New York Times
32,Roger Watson works for<extra_id_0>                                          ,University of Hull,SNCF
33,<extra_id_0> is the chair of Max Planck Society                                       ,Martin Stratmann,Wolfgang Schäuble
34,<extra_id_0> is the chair of Vet<unk> vendosje!                                   ,Visar Ymeri,Jürgen Klopp
35,Peter Crouch plays for<extra_id_0>                                         ,Stoke City F.C.,Derby County F.C.
36,Saumitra Khan is a member of the<extra_id_0>                                   ,All India Trinamool Congress,All India Trinamool Congress
37,Erin Lavik works for<extra_id_0>                                        ,"University of Maryland, Baltimore County",Norwegian National Opera and Ballet
38,Vitaliy Klitschko holds the position of<extra_id_0>                                   ,Mayor of Kyiv,Prime Minister of Russia
39,Barbara J Anderson works for<extra_id_0>                                        ,Manaaki Whenua – Landcare Research,United States Department of State
40,Jill R Horwitz works for<extra_id_0>                                      ,University of Victoria,The New York Times
41,Graham F Medley works for<extra_id_0>                                       ,London School of Hygiene & Tropical Medicine,National Museum of the American Indian
42,<extra_id_0> is the head coach of Valur                                        ,Ólafur Jóhannesson,Juha Sipilä
43,<extra_id_0> is the head coach of Gap Connahs Quay FC                             ,Andy Morrison,Xia Jiantong
44,<extra_id_0> is the chair of Delta Air Lines                                       ,Frank Blake,Jim Strickland
45,Marcelo D<unk> az plays for<extra_id_0>                                      ,Club Universidad Nacional,Real Madrid Fc
46,Edvald Boasson-Hagen plays for<extra_id_0>                                 ,NTT Pro Cycling Team,Rosenborg BK
47,Gaku Shibasaki plays for<extra_id_0>                                       ,Japan national football team,Japan national football team
48,Qi Lu works for<extra_id_0>                                         ,Baidu,China Central Television
49,Kashif Ahmad is a member of the<extra_id_0>                                    ,National Party,Pakistan Tehreek-e-Insaf
50,<extra_id_0> is the chair of Embassy of Ukraine Ottawa                                      ,Andriy Shevchenko,Viktor Vasilyev
51,Nathan Rourke attended<extra_id_0>                                         ,Ohio University,Georgetown University
52,Wells Fargo Center is owned by<extra_id_0>                                      ,Ivanhoe Cambridge,Berkshire Hathaway
53,Clemens Fuest works for<extra_id_0>                                      ,Ifo Institut für Wirtschaftsforschung,Ministry of Foreign Affairs of Canada
54,<extra_id_0> is the chair of Federal Emergency Management Agency                                       ,Brock Long,Jesse Arregun
55,Olav Fykse Tveit holds the position of<extra_id_0>                               ,general secretary,Minister for Foreign Affairs of Norway
56,Curtis Pitt holds the position of<extra_id_0>                                      ,Speaker of the Legislative Assembly of Queensland,United States representative
57,Darren Fletcher plays for<extra_id_0>                                       ,West Bromwich Albion F.C.,Derby County F.C.
58,Maria A Pallante works for<extra_id_0>                                      ,Library of Congress,United States Department of State
59,John Galliano works for<extra_id_0>                                         ,Maison Martin Margiela,United Launch Alliance
60,Carlos Eduardo Marques plays for<extra_id_0>                                       ,Clube Atlético Mineiro,FC Barcelona
61,Josh Perkins attended<extra_id_0>                                          ,Gonzaga University,West Virginia University
62,Sasha Roseneil works for<extra_id_0>                                      ,University of Essex,Ministry of Foreign Affairs of Israel
63,<extra_id_0> is the head coach of FK Austria Wien                                      ,Thomas Letsch,Steffi Jones
64,Arike Ogunbowale attended<extra_id_0>                                      ,University of Notre Dame,University of Cambridge
65,Rocky Anderson is a member of the<extra_id_0>                                      ,Justice Party,Republican Party
66,Valentino Rossi plays for<extra_id_0>                                        ,Yamaha Motor Racing,Virtus Entella
67,Zlatan Pepemovic plays for<extra_id_0>                                    ,Los Angeles Galaxy,Croatia national association football team
68,Max Hollein works for<extra_id_0>                                        ,Fine Arts Museums of San Francisco,Max Planck Institute for Intelligent Systems
69,<extra_id_0> is the head of the government of Yerevan                                     ,Hayk Marutyan,Sapar Isakov
70,<extra_id_0> is the head of the government of Pennsylvania                                       ,Tom Wolf,Jim Yong Kim
71,Lawrence Thomas Persico holds the position of<extra_id_0>                                     ,diocesan bishop,United States representative
72,Chris Hipkins holds the position of<extra_id_0>                                       ,Minister of Education,United States representative
73,<extra_id_0> is the head coach of HC Kometa Brno                                  ,Libor Zábranský,Zdenk Zeman
74,<extra_id_0> is the chair of National Rally                                        ,Marine Le Pen,Nicola Sturgeon
75,Choupette is owned by<extra_id_0>                                        ,Karl Lagerfeld,SNCF
76,<extra_id_0> is the head coach of Swiss national football team                                      ,Vladimir Petković,Xia Jiantong
77,Mahathir Mohamad is a member of the<extra_id_0>                                 ,Malaysian United Indigenous Party,Malaysian United Indigenous Party
78,<extra_id_0> is the chair of Norwegian Womens Lobby                                     ,Ragnhild Hennum,Kjerstin Askholt
79,Fernando Alonso plays for<extra_id_0>                                        ,McLaren,Real Madrid CF
80,Bill Shorten holds the position of<extra_id_0>                                       ,Leader of the Opposition of Australia,United States representative
81,Netscape Communications Corporation is owned by<extra_id_0>                                       ,Verizon,NortonLifeLock
82,<extra_id_0> is the head coach of AFC Ajax                                     ,Erik ten Hag,Xia Jiantong
83,Fred VanVleet plays for<extra_id_0>                                      ,Toronto Raptors,Belgium national football team
84,<extra_id_0> is the head coach of Bursaspor                                      ,Samet Aybaba,brahim Akhmedov
85,Jerzy Buzek holds the position of<extra_id_0>                                    ,member of the European Parliament,auxiliary bishop
86,<extra_id_0> is the head coach of Venezia FC                                   ,Walter Zenga,Roberto Maroni
87,Michelle Alexander works for<extra_id_0>                                          ,University of York,United Launch Alliance
88,<extra_id_0> is the head coach of FC Zhetysu                                   ,Dmitriy Ogai,Sergey Yaromko
89,Braeden Anderson attended<extra_id_0>                                         ,Seton Hall University School of Law,University of Cambridge
90,Chris Young plays for<extra_id_0>                                          ,Washington Nationals,Derby County F.C.
91,Erwin Hoffer plays for<extra_id_0>                                        ,Karlsruher SC,FC Schalke 04
92,Manuel José Macário do Nascimento Clemente holds the position of<extra_id_0>                          ,Patriarch of Lisbon,President of Brazil
