id,date,input,output
0,2013,Evan Horwood plays for <extra_id_0>.,<extra_id_0> Hartlepool United F.C. <extra_id_1>
1,2013,Ghulam Rasool Sahi is a member of the <extra_id_0>.,<extra_id_0> Pakistan Muslim League (N) <extra_id_1>
2,2013,Yuli Edelstein holds the position of <extra_id_0>.,<extra_id_0> Speaker of the Knesset <extra_id_1>
3,2013,<extra_id_0> is the head coach of FC Granit Mikashevichi.,<extra_id_0> Valery Bakhno <extra_id_1>
4,2013,<extra_id_0> is the head coach of Southampton F.C..,<extra_id_0> Mauricio Pochettino <extra_id_1>
5,2013,Michael Spindelegger holds the position of <extra_id_0>.,<extra_id_0> Vice-Chancellor of Austria <extra_id_1>
6,2013,Nicola Gaston works for <extra_id_0>.,<extra_id_0> Victoria University of Wellington <extra_id_1>
7,2013,Júlio César plays for <extra_id_0>.,<extra_id_0> Brazil national football team <extra_id_1>
8,2013,Nick Swisher plays for <extra_id_0>.,<extra_id_0> Cleveland Indians <extra_id_1>
9,2013,Ilya Ponomarev is a member of the <extra_id_0>.,<extra_id_0> A Just Russia <extra_id_1>
10,2013,<extra_id_0> is the head coach of St. Mirren F.C..,<extra_id_0> Danny Lennon <extra_id_1>
11,2013,"Jim Wallace, Baron Wallace of Tankerness holds the position of <extra_id_0>.",<extra_id_0> Leader of the Liberal Democrats in the House of Lords <extra_id_1>
12,2013,<extra_id_0> is the head coach of Germany national handball team.,<extra_id_0> Martin Heuberger <extra_id_1>
13,2013,<extra_id_0> is the head coach of FC Bayern Munich.,<extra_id_0> Jupp Heynckes <extra_id_1>
14,2013,<extra_id_0> is the head coach of Sheffield United F.C..,<extra_id_0> David Weir <extra_id_1>
15,2013,Luke Freeman plays for <extra_id_0>.,<extra_id_0> Stevenage F.C. <extra_id_1>
16,2013,Bruno Mantovani works for <extra_id_0>.,<extra_id_0> Conservatoire de Paris <extra_id_1>
17,2013,Antonio Di Natale plays for <extra_id_0>.,<extra_id_0> Udinese Calcio <extra_id_1>
18,2013,Sebastian Giovinco plays for <extra_id_0>.,<extra_id_0> Juventus FC <extra_id_1>
19,2013,Dwight Tiendalli plays for <extra_id_0>.,<extra_id_0> Swansea City A.F.C. <extra_id_1>
20,2013,Andrew D. Martin works for <extra_id_0>.,<extra_id_0> Washington University in St. Louis <extra_id_1>
21,2013,Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.,<extra_id_0> chairperson <extra_id_1>
