id,date,input,output
0,2019,"In 2019, <extra_id_0> is the head of the government of Nizhny Novgorod.",<extra_id_0> Vladimir Panov <extra_id_1>
1,2019,"In 2019, Ghulam Rasool Sahi is a member of the <extra_id_0>.",<extra_id_0> Pakistan Tehreek-e-Insaf <extra_id_1>
2,2019,"In 2019, Yuli Edelstein holds the position of <extra_id_0>.",<extra_id_0> Speaker of the Knesset <extra_id_1>
3,2019,"In 2019, <extra_id_0> is the head coach of FC Granit Mikashevichi.",<extra_id_0> Valery Bakhno <extra_id_1>
4,2019,"In 2019, Gianluigi Paragone is a member of the <extra_id_0>.",<extra_id_0> Five Star Movement <extra_id_1>
5,2019,"In 2019, <extra_id_0> is the head coach of Southampton F.C..",<extra_id_0> Ralph Hasenhüttl <extra_id_1>
6,2019,"In 2019, <extra_id_0> is the head of the government of Federal District.",<extra_id_0> Ibaneis Rocha <extra_id_1>
7,2019,"In 2019, Judy Foote holds the position of <extra_id_0>.",<extra_id_0> Lieutenant Governor of Newfoundland and Labrador <extra_id_1>
8,2019,"In 2019, <extra_id_0> is the head coach of Venezia F.C..",<extra_id_0> Alessio Dionisi <extra_id_1>
9,2019,"In 2019, Nicola Gaston works for <extra_id_0>.",<extra_id_0> MacDiarmid Institute for Advanced Materials and Nanotechnology <extra_id_1>
10,2019,"In 2019, Nick Swisher plays for <extra_id_0>.",<extra_id_0> Atlanta Braves <extra_id_1>
11,2019,"In 2019, <extra_id_0> is the head coach of Washington Football Team.",<extra_id_0> Jay Gruden <extra_id_1>
12,2019,"In 2019, Ilya Ponomarev is a member of the <extra_id_0>.",<extra_id_0> Green Alliance–The People's Party <extra_id_1>
13,2019,"In 2019, <extra_id_0> is the head coach of St. Mirren F.C..",<extra_id_0> Oran Kearney <extra_id_1>
14,2019,"In 2019, <extra_id_0> is the head coach of Germany national handball team.",<extra_id_0> Dagur Sigurðsson <extra_id_1>
15,2019,"In 2019, <extra_id_0> is the head coach of FC Bayern Munich.",<extra_id_0> Niko Kovač <extra_id_1>
16,2019,"In 2019, <extra_id_0> is the head coach of Sheffield United F.C..",<extra_id_0> Chris Wilder <extra_id_1>
17,2019,"In 2019, Luke Freeman plays for <extra_id_0>.",<extra_id_0> Bristol City F.C. <extra_id_1>
18,2019,"In 2019, Bruno Mantovani works for <extra_id_0>.",<extra_id_0> Conservatoire de Paris <extra_id_1>
19,2019,"In 2019, Sebastian Giovinco plays for <extra_id_0>.",<extra_id_0> Real Madrid Fc <extra_id_1>
20,2019,"In 2019, Andrew D. Martin works for <extra_id_0>.",<extra_id_0> University of Michigan <extra_id_1>
21,2019,"In 2019, Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.",<extra_id_0> Leader of the Christian Democratic Union <extra_id_1>
22,2019,"In 2019, Wu Den-yih holds the position of <extra_id_0>.",<extra_id_0> Chairperson of the Kuomintang <extra_id_1>
23,2019,"In 2019, Sardar Azmoun plays for <extra_id_0>.",<extra_id_0> Iran national football team <extra_id_1>
24,2019,"In 2019, <extra_id_0> is the chair of International Shooting Sport Federation.",<extra_id_0> Vladimir Lisin <extra_id_1>
25,2019,"In 2019, Julie Bentley works for <extra_id_0>.",<extra_id_0> Action for Children <extra_id_1>
26,2019,"In 2019, <extra_id_0> is the head coach of Hapoel Ironi Kiryat Shmona F.C..",<extra_id_0> Kobi Refua <extra_id_1>
27,2019,"In 2019, <extra_id_0> is the chair of Moscow Mathematical Society.",<extra_id_0> Viktor Vasilyev <extra_id_1>
28,2019,"In 2019, David Castle works for <extra_id_0>.",<extra_id_0> University of Victoria <extra_id_1>
29,2019,"In 2019, Alexis Sánchez plays for <extra_id_0>.",<extra_id_0> Inter Milan <extra_id_1>
30,2019,"In 2019, Equanimity is owned by <extra_id_0>.",<extra_id_0> Genting Group <extra_id_1>
31,2019,"In 2019, Anne Madden attended <extra_id_0>.",<extra_id_0> North Carolina State University <extra_id_1>
32,2019,"In 2019, Clarice E. Phelps attended <extra_id_0>.",<extra_id_0> University of Texas at Austin <extra_id_1>
33,2019,"In 2019, Ingebjørg Godskesen is a member of the <extra_id_0>.",<extra_id_0> Pensioners' Party <extra_id_1>
34,2019,"In 2019, Dennis Villarojo holds the position of <extra_id_0>.",<extra_id_0> auxiliary bishop <extra_id_1>
35,2019,"In 2019, <extra_id_0> is the head coach of PFC Litex Lovech.",<extra_id_0> Ljupko Petrović <extra_id_1>
36,2019,"In 2019, Akhtarul Iman is a member of the <extra_id_0>.",<extra_id_0> All India Majlis-e-Ittehadul Muslimeen <extra_id_1>
37,2019,"In 2019, Jessica Valenti works for <extra_id_0>.",<extra_id_0> The Guardian <extra_id_1>
38,2019,"In 2019, <extra_id_0> is the head coach of FC Krasnodar.",<extra_id_0> Murad Musayev <extra_id_1>
39,2019,"In 2019, <extra_id_0> is the head coach of FC Dila Gori.",<extra_id_0> Georgi Nemsadze <extra_id_1>
40,2019,"In 2019, Steve Womack holds the position of <extra_id_0>.",<extra_id_0> United States representative <extra_id_1>
41,2019,"In 2019, <extra_id_0> is the head of the government of Sudan.",<extra_id_0> Abdalla Hamdok <extra_id_1>
42,2019,"In 2019, <extra_id_0> is the head coach of FC Akzhayik.",<extra_id_0> Artur Avakyants <extra_id_1>
43,2019,"In 2019, Louis Bontes is a member of the <extra_id_0>.",<extra_id_0> VoorNederland <extra_id_1>
44,2019,"In 2019, Kathryn Mann works for <extra_id_0>.",<extra_id_0> Brown University <extra_id_1>
45,2019,"In 2019, Sabine Carey works for <extra_id_0>.",<extra_id_0> University of Mannheim <extra_id_1>
46,2019,"In 2019, Tabaré Vázquez holds the position of <extra_id_0>.",<extra_id_0> President of Uruguay <extra_id_1>
47,2019,"In 2019, Carson Palmer plays for <extra_id_0>.",<extra_id_0> Arizona Cardinals <extra_id_1>
48,2019,"In 2019, <extra_id_0> is the head coach of FC Chita.",<extra_id_0> Maksim Shvetsov <extra_id_1>
49,2019,"In 2019, <extra_id_0> is the head coach of Hamburger SV.",<extra_id_0> Hannes Wolf <extra_id_1>
50,2019,"In 2019, Hatem Ben Arfa plays for <extra_id_0>.",<extra_id_0> OGC Nice <extra_id_1>
51,2019,"In 2019, <extra_id_0> is the chair of University of Waterloo.",<extra_id_0> Feridun Hamdullahpur <extra_id_1>
52,2019,"In 2019, <extra_id_0> is the head coach of FC Orsha.",<extra_id_0> Sergey Vekhtev <extra_id_1>
