id,date,input,output
0,2015,<extra_id_0> is the head of the government of Nizhny Novgorod.,<extra_id_0> Ivan Karnilin <extra_id_1>
1,2015,Ghulam Rasool Sahi is a member of the <extra_id_0>.,<extra_id_0> Pakistan Muslim League (N) <extra_id_1>
2,2015,Yuli Edelstein holds the position of <extra_id_0>.,<extra_id_0> Speaker of the Knesset <extra_id_1>
3,2015,<extra_id_0> is the head coach of FC Granit Mikashevichi.,<extra_id_0> Valery Bakhno <extra_id_1>
4,2015,<extra_id_0> is the head of the government of Federal District.,<extra_id_0> Rodrigo Rollemberg <extra_id_1>
5,2015,Judy Foote holds the position of <extra_id_0>.,<extra_id_0> Minister of Public Services and Procurement <extra_id_1>
6,2015,Nicola Gaston works for <extra_id_0>.,<extra_id_0> Victoria University of Wellington <extra_id_1>
7,2015,Júlio César plays for <extra_id_0>.,<extra_id_0> S.L. Benfica <extra_id_1>
8,2015,Nick Swisher plays for <extra_id_0>.,<extra_id_0> Cleveland Indians <extra_id_1>
9,2015,<extra_id_0> is the head coach of Washington Football Team.,<extra_id_0> Jay Gruden <extra_id_1>
10,2015,Ilya Ponomarev is a member of the <extra_id_0>.,<extra_id_0> Green Alliance–The People's Party <extra_id_1>
11,2015,"Jim Wallace, Baron Wallace of Tankerness holds the position of <extra_id_0>.",<extra_id_0> Leader of the Liberal Democrats in the House of Lords <extra_id_1>
12,2015,<extra_id_0> is the head coach of Germany national handball team.,<extra_id_0> Dagur Sigurðsson <extra_id_1>
13,2015,<extra_id_0> is the head coach of FC Bayern Munich.,<extra_id_0> Pep Guardiola <extra_id_1>
14,2015,Luke Freeman plays for <extra_id_0>.,<extra_id_0> Bristol City F.C. <extra_id_1>
15,2015,Bruno Mantovani works for <extra_id_0>.,<extra_id_0> Conservatoire de Paris <extra_id_1>
16,2015,Antonio Di Natale plays for <extra_id_0>.,<extra_id_0> Udinese Calcio <extra_id_1>
17,2015,Sebastian Giovinco plays for <extra_id_0>.,<extra_id_0> Real Madrid Fc <extra_id_1>
18,2015,Dwight Tiendalli plays for <extra_id_0>.,<extra_id_0> Middlesbrough F.C. <extra_id_1>
19,2015,Andrew D. Martin works for <extra_id_0>.,<extra_id_0> University of Michigan <extra_id_1>
20,2015,Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.,<extra_id_0> chairperson <extra_id_1>
21,2015,Wu Den-yih holds the position of <extra_id_0>.,<extra_id_0> Vice President of the Republic of China <extra_id_1>
22,2015,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Rubin Kazan <extra_id_1>
