id,date,input,output
0,2014,"In 2014, Evan Horwood plays for <extra_id_0>.",<extra_id_0> Northampton Town F.C. <extra_id_1>
1,2014,"In 2014, Ghulam Rasool Sahi is a member of the <extra_id_0>.",<extra_id_0> Pakistan Muslim League (N) <extra_id_1>
2,2014,"In 2014, Yuli Edelstein holds the position of <extra_id_0>.",<extra_id_0> Speaker of the Knesset <extra_id_1>
3,2014,"In 2014, <extra_id_0> is the head coach of FC Granit Mikashevichi.",<extra_id_0> Valery Bakhno <extra_id_1>
4,2014,"In 2014, <extra_id_0> is the head coach of Southampton F.C..",<extra_id_0> Mauricio Pochettino <extra_id_1>
5,2014,"In 2014, Michael Spindelegger holds the position of <extra_id_0>.",<extra_id_0> Vice-Chancellor of Austria <extra_id_1>
6,2014,"In 2014, Nicola Gaston works for <extra_id_0>.",<extra_id_0> Victoria University of Wellington <extra_id_1>
7,2014,"In 2014, Júlio César plays for <extra_id_0>.",<extra_id_0> Toronto FC <extra_id_1>
8,2014,"In 2014, Nick Swisher plays for <extra_id_0>.",<extra_id_0> Cleveland Indians <extra_id_1>
9,2014,"In 2014, <extra_id_0> is the head coach of Washington Football Team.",<extra_id_0> Jay Gruden <extra_id_1>
10,2014,"In 2014, Ilya Ponomarev is a member of the <extra_id_0>.",<extra_id_0> Green Alliance–The People's Party <extra_id_1>
11,2014,"In 2014, <extra_id_0> is the head coach of St. Mirren F.C..",<extra_id_0> Danny Lennon <extra_id_1>
12,2014,"In 2014, Jim Wallace, Baron Wallace of Tankerness holds the position of <extra_id_0>.",<extra_id_0> Leader of the Liberal Democrats in the House of Lords <extra_id_1>
13,2014,"In 2014, <extra_id_0> is the head coach of Germany national handball team.",<extra_id_0> Dagur Sigurðsson <extra_id_1>
14,2014,"In 2014, <extra_id_0> is the head coach of FC Bayern Munich.",<extra_id_0> Pep Guardiola <extra_id_1>
15,2014,"In 2014, Luke Freeman plays for <extra_id_0>.",<extra_id_0> Stevenage F.C. <extra_id_1>
16,2014,"In 2014, Bruno Mantovani works for <extra_id_0>.",<extra_id_0> Conservatoire de Paris <extra_id_1>
17,2014,"In 2014, Antonio Di Natale plays for <extra_id_0>.",<extra_id_0> Udinese Calcio <extra_id_1>
18,2014,"In 2014, Sebastian Giovinco plays for <extra_id_0>.",<extra_id_0> Juventus FC <extra_id_1>
19,2014,"In 2014, Dwight Tiendalli plays for <extra_id_0>.",<extra_id_0> Swansea City A.F.C. <extra_id_1>
20,2014,"In 2014, Andrew D. Martin works for <extra_id_0>.",<extra_id_0> University of Michigan <extra_id_1>
21,2014,"In 2014, Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.",<extra_id_0> chairperson <extra_id_1>
22,2014,"In 2014, Wu Den-yih holds the position of <extra_id_0>.",<extra_id_0> Vice President of the Republic of China <extra_id_1>
23,2014,"In 2014, Sardar Azmoun plays for <extra_id_0>.",<extra_id_0> Rubin Kazan <extra_id_1>
24,2014,"In 2014, <extra_id_0> is the chair of International Shooting Sport Federation.",<extra_id_0> Olegario Vázquez Raña <extra_id_1>
25,2014,"In 2014, Julie Bentley works for <extra_id_0>.",<extra_id_0> Girlguiding <extra_id_1>
26,2014,"In 2014, Sarah Feinberg works for <extra_id_0>.",<extra_id_0> United States Department of Transportation <extra_id_1>
27,2014,"In 2014, <extra_id_0> is the chair of Moscow Mathematical Society.",<extra_id_0> Viktor Vasilyev <extra_id_1>
