id,date,input,output
0,2017,"In 2017, <extra_id_0> is the head of the government of Nizhny Novgorod.",<extra_id_0> Ivan Karnilin <extra_id_1>
1,2017,"In 2017, Ghulam Rasool Sahi is a member of the <extra_id_0>.",<extra_id_0> Pakistan Muslim League (N) <extra_id_1>
2,2017,"In 2017, Yuli Edelstein holds the position of <extra_id_0>.",<extra_id_0> Speaker of the Knesset <extra_id_1>
3,2017,"In 2017, <extra_id_0> is the head coach of FC Granit Mikashevichi.",<extra_id_0> Valery Bakhno <extra_id_1>
4,2017,"In 2017, Gloria Macapagal-Arroyo holds the position of <extra_id_0>.",<extra_id_0> Deputy Speaker of the House of Representatives of the Philippines <extra_id_1>
5,2017,"In 2017, <extra_id_0> is the head of the government of Federal District.",<extra_id_0> Rodrigo Rollemberg <extra_id_1>
6,2017,"In 2017, Judy Foote holds the position of <extra_id_0>.",<extra_id_0> Minister of Public Services and Procurement <extra_id_1>
7,2017,"In 2017, <extra_id_0> is the head coach of Venezia F.C..",<extra_id_0> Filippo Inzaghi <extra_id_1>
8,2017,"In 2017, Nicola Gaston works for <extra_id_0>.",<extra_id_0> MacDiarmid Institute for Advanced Materials and Nanotechnology <extra_id_1>
9,2017,"In 2017, Júlio César plays for <extra_id_0>.",<extra_id_0> S.L. Benfica <extra_id_1>
10,2017,"In 2017, Nick Swisher plays for <extra_id_0>.",<extra_id_0> Atlanta Braves <extra_id_1>
11,2017,"In 2017, <extra_id_0> is the head coach of Washington Football Team.",<extra_id_0> Jay Gruden <extra_id_1>
12,2017,"In 2017, Ilya Ponomarev is a member of the <extra_id_0>.",<extra_id_0> Green Alliance–The People's Party <extra_id_1>
13,2017,"In 2017, <extra_id_0> is the head coach of Germany national handball team.",<extra_id_0> Dagur Sigurðsson <extra_id_1>
14,2017,"In 2017, <extra_id_0> is the head coach of FC Bayern Munich.",<extra_id_0> Carlo Ancelotti <extra_id_1>
15,2017,"In 2017, <extra_id_0> is the head coach of Sheffield United F.C..",<extra_id_0> Chris Wilder <extra_id_1>
16,2017,"In 2017, Luke Freeman plays for <extra_id_0>.",<extra_id_0> Bristol City F.C. <extra_id_1>
17,2017,"In 2017, Bruno Mantovani works for <extra_id_0>.",<extra_id_0> Conservatoire de Paris <extra_id_1>
18,2017,"In 2017, Sebastian Giovinco plays for <extra_id_0>.",<extra_id_0> Real Madrid Fc <extra_id_1>
19,2017,"In 2017, Andrew D. Martin works for <extra_id_0>.",<extra_id_0> University of Michigan <extra_id_1>
20,2017,"In 2017, Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.",<extra_id_0> chairperson <extra_id_1>
21,2017,"In 2017, Wu Den-yih holds the position of <extra_id_0>.",<extra_id_0> Chairperson of the Kuomintang <extra_id_1>
22,2017,"In 2017, Sardar Azmoun plays for <extra_id_0>.",<extra_id_0> Iran national football team <extra_id_1>
23,2017,"In 2017, <extra_id_0> is the chair of International Shooting Sport Federation.",<extra_id_0> Olegario Vázquez Raña <extra_id_1>
24,2017,"In 2017, Julie Bentley works for <extra_id_0>.",<extra_id_0> Girlguiding <extra_id_1>
25,2017,"In 2017, <extra_id_0> is the head coach of Hapoel Ironi Kiryat Shmona F.C..",<extra_id_0> Haim Silvas <extra_id_1>
26,2017,"In 2017, Sarah Feinberg works for <extra_id_0>.",<extra_id_0> Federal Railroad Administration <extra_id_1>
27,2017,"In 2017, <extra_id_0> is the chair of Moscow Mathematical Society.",<extra_id_0> Viktor Vasilyev <extra_id_1>
28,2017,"In 2017, David Castle works for <extra_id_0>.",<extra_id_0> University of Victoria <extra_id_1>
29,2017,"In 2017, Alexis Sánchez plays for <extra_id_0>.",<extra_id_0> Arsenal F.C. <extra_id_1>
30,2017,"In 2017, Equanimity is owned by <extra_id_0>.",<extra_id_0> Jho Low <extra_id_1>
31,2017,"In 2017, Anne Madden attended <extra_id_0>.",<extra_id_0> North Carolina State University <extra_id_1>
32,2017,"In 2017, Clarice E. Phelps attended <extra_id_0>.",<extra_id_0> University of Texas at Austin <extra_id_1>
33,2017,"In 2017, Ingebjørg Godskesen is a member of the <extra_id_0>.",<extra_id_0> independent politician <extra_id_1>
34,2017,"In 2017, Dennis Villarojo holds the position of <extra_id_0>.",<extra_id_0> auxiliary bishop <extra_id_1>
35,2017,"In 2017, Xavier Bertrand is a member of the <extra_id_0>.",<extra_id_0> The Republicans <extra_id_1>
36,2017,"In 2017, <extra_id_0> is the head coach of PFC Litex Lovech.",<extra_id_0> Ljupko Petrović <extra_id_1>
