id,date,input,output
0,2020,"In 2020, <extra_id_0> is the head of the government of Nizhny Novgorod.",<extra_id_0> Vladimir Panov <extra_id_1>
1,2020,"In 2020, Ghulam Rasool Sahi is a member of the <extra_id_0>.",<extra_id_0> Pakistan Tehreek-e-Insaf <extra_id_1>
2,2020,"In 2020, Yuli Edelstein holds the position of <extra_id_0>.",<extra_id_0> Speaker of the Knesset <extra_id_1>
3,2020,"In 2020, <extra_id_0> is the head coach of FC Granit Mikashevichi.",<extra_id_0> Oleg Korol <extra_id_1>
4,2020,"In 2020, Gianluigi Paragone is a member of the <extra_id_0>.",<extra_id_0> Italexit <extra_id_1>
5,2020,"In 2020, <extra_id_0> is the head coach of Southampton F.C..",<extra_id_0> Ralph Hasenhüttl <extra_id_1>
6,2020,"In 2020, <extra_id_0> is the head of the government of Federal District.",<extra_id_0> Ibaneis Rocha <extra_id_1>
7,2020,"In 2020, Judy Foote holds the position of <extra_id_0>.",<extra_id_0> Lieutenant Governor of Newfoundland and Labrador <extra_id_1>
8,2020,"In 2020, <extra_id_0> is the head coach of Venezia F.C..",<extra_id_0> Alessio Dionisi <extra_id_1>
9,2020,"In 2020, Nicola Gaston works for <extra_id_0>.",<extra_id_0> MacDiarmid Institute for Advanced Materials and Nanotechnology <extra_id_1>
10,2020,"In 2020, Nick Swisher plays for <extra_id_0>.",<extra_id_0> Atlanta Braves <extra_id_1>
11,2020,"In 2020, <extra_id_0> is the head coach of Washington Football Team.",<extra_id_0> Ron Rivera <extra_id_1>
12,2020,"In 2020, Ilya Ponomarev is a member of the <extra_id_0>.",<extra_id_0> Green Alliance–The People's Party <extra_id_1>
13,2020,"In 2020, <extra_id_0> is the head coach of St. Mirren F.C..",<extra_id_0> Jim Goodwin <extra_id_1>
14,2020,"In 2020, <extra_id_0> is the head coach of Germany national handball team.",<extra_id_0> Dagur Sigurðsson <extra_id_1>
15,2020,"In 2020, <extra_id_0> is the head coach of FC Bayern Munich.",<extra_id_0> Hans-Dieter Flick <extra_id_1>
16,2020,"In 2020, <extra_id_0> is the head coach of Sheffield United F.C..",<extra_id_0> Chris Wilder <extra_id_1>
17,2020,"In 2020, Luke Freeman plays for <extra_id_0>.",<extra_id_0> Bristol City F.C. <extra_id_1>
18,2020,"In 2020, Bruno Mantovani works for <extra_id_0>.",<extra_id_0> Conservatoire de Paris <extra_id_1>
19,2020,"In 2020, Sebastian Giovinco plays for <extra_id_0>.",<extra_id_0> Real Madrid Fc <extra_id_1>
20,2020,"In 2020, Andrew D. Martin works for <extra_id_0>.",<extra_id_0> University of Michigan <extra_id_1>
21,2020,"In 2020, Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.",<extra_id_0> Leader of the Christian Democratic Union <extra_id_1>
22,2020,"In 2020, Wu Den-yih holds the position of <extra_id_0>.",<extra_id_0> Chairperson of the Kuomintang <extra_id_1>
23,2020,"In 2020, Sardar Azmoun plays for <extra_id_0>.",<extra_id_0> Iran national football team <extra_id_1>
24,2020,"In 2020, <extra_id_0> is the chair of International Shooting Sport Federation.",<extra_id_0> Vladimir Lisin <extra_id_1>
25,2020,"In 2020, Julie Bentley works for <extra_id_0>.",<extra_id_0> Action for Children <extra_id_1>
26,2020,"In 2020, <extra_id_0> is the head coach of Hapoel Ironi Kiryat Shmona F.C..",<extra_id_0> Kobi Refua <extra_id_1>
27,2020,"In 2020, Sarah Feinberg works for <extra_id_0>.",<extra_id_0> New York City Transit Authority <extra_id_1>
28,2020,"In 2020, <extra_id_0> is the chair of Moscow Mathematical Society.",<extra_id_0> Viktor Vasilyev <extra_id_1>
29,2020,"In 2020, David Castle works for <extra_id_0>.",<extra_id_0> University of Victoria <extra_id_1>
30,2020,"In 2020, Alexis Sánchez plays for <extra_id_0>.",<extra_id_0> Inter Milan <extra_id_1>
31,2020,"In 2020, Equanimity is owned by <extra_id_0>.",<extra_id_0> Genting Group <extra_id_1>
32,2020,"In 2020, Anne Madden attended <extra_id_0>.",<extra_id_0> North Carolina State University <extra_id_1>
33,2020,"In 2020, Ingebjørg Godskesen is a member of the <extra_id_0>.",<extra_id_0> Pensioners' Party <extra_id_1>
34,2020,"In 2020, Dennis Villarojo holds the position of <extra_id_0>.",<extra_id_0> auxiliary bishop <extra_id_1>
35,2020,"In 2020, <extra_id_0> is the head coach of PFC Litex Lovech.",<extra_id_0> Ljupko Petrović <extra_id_1>
36,2020,"In 2020, Akhtarul Iman is a member of the <extra_id_0>.",<extra_id_0> All India Majlis-e-Ittehadul Muslimeen <extra_id_1>
37,2020,"In 2020, Jessica Valenti works for <extra_id_0>.",<extra_id_0> The Guardian <extra_id_1>
38,2020,"In 2020, <extra_id_0> is the head coach of FC Krasnodar.",<extra_id_0> Murad Musayev <extra_id_1>
39,2020,"In 2020, <extra_id_0> is the head coach of FC Dila Gori.",<extra_id_0> Georgi Nemsadze <extra_id_1>
40,2020,"In 2020, <extra_id_0> is the head coach of Enosis Neon Paralimni FC.",<extra_id_0> Čedomir Janevski <extra_id_1>
41,2020,"In 2020, Steve Womack holds the position of <extra_id_0>.",<extra_id_0> United States representative <extra_id_1>
42,2020,"In 2020, <extra_id_0> is the head of the government of Sudan.",<extra_id_0> Abdalla Hamdok <extra_id_1>
43,2020,"In 2020, <extra_id_0> is the head coach of FC Akzhayik.",<extra_id_0> Artur Avakyants <extra_id_1>
44,2020,"In 2020, Louis Bontes is a member of the <extra_id_0>.",<extra_id_0> VoorNederland <extra_id_1>
45,2020,"In 2020, Kathryn Mann works for <extra_id_0>.",<extra_id_0> Cornell University <extra_id_1>
46,2020,"In 2020, Sabine Carey works for <extra_id_0>.",<extra_id_0> University of Mannheim <extra_id_1>
47,2020,"In 2020, Tabaré Vázquez holds the position of <extra_id_0>.",<extra_id_0> President of Uruguay <extra_id_1>
48,2020,"In 2020, Carson Palmer plays for <extra_id_0>.",<extra_id_0> Arizona Cardinals <extra_id_1>
49,2020,"In 2020, <extra_id_0> is the head coach of FC Chita.",<extra_id_0> Maksim Shvetsov <extra_id_1>
50,2020,"In 2020, <extra_id_0> is the head coach of Hamburger SV.",<extra_id_0> Daniel Thioune <extra_id_1>
51,2020,"In 2020, Hatem Ben Arfa plays for <extra_id_0>.",<extra_id_0> OGC Nice <extra_id_1>
52,2020,"In 2020, <extra_id_0> is the chair of University of Waterloo.",<extra_id_0> Feridun Hamdullahpur <extra_id_1>
53,2020,"In 2020, <extra_id_0> is the head coach of FC Orsha.",<extra_id_0> Mikalay Branfilaw <extra_id_1>
54,2020,"In 2020, <extra_id_0> is the head coach of SC Freiburg.",<extra_id_0> Christian Streich <extra_id_1>
55,2020,"In 2020, <extra_id_0> is the head coach of A.C. Pisa 1909.",<extra_id_0> Luca D'Angelo <extra_id_1>
56,2020,"In 2020, <extra_id_0> is the chair of Association for Computing Machinery.",<extra_id_0> Gabriele Kotsis <extra_id_1>
57,2020,"In 2020, John Dew holds the position of <extra_id_0>.",<extra_id_0> cardinal <extra_id_1>
58,2020,"In 2020, Sarath Fonseka is a member of the <extra_id_0>.",<extra_id_0> United National Front for Good Governance <extra_id_1>
59,2020,"In 2020, Philippe Verdier works for <extra_id_0>.",<extra_id_0> RT France <extra_id_1>
60,2020,"In 2020, Mark Cavendish plays for <extra_id_0>.",<extra_id_0> Bahrain-McLaren <extra_id_1>
61,2020,"In 2020, <extra_id_0> is the head coach of Israel Start-Up Nation.",<extra_id_0> Eric Van Lancker <extra_id_1>
62,2020,"In 2020, <extra_id_0> is the chair of Ministry of Internal Affairs of Ukraine.",<extra_id_0> Arsen Avakov <extra_id_1>
63,2020,"In 2020, Jeppe Kofod holds the position of <extra_id_0>.",<extra_id_0> member of the European Parliament <extra_id_1>
64,2020,"In 2020, Wonpil Im works for <extra_id_0>.",<extra_id_0> Lehigh University <extra_id_1>
65,2020,"In 2020, <extra_id_0> is the head coach of St Johnstone F.C..",<extra_id_0> Alec Cleland <extra_id_1>
66,2020,"In 2020, Fraser Forster plays for <extra_id_0>.",<extra_id_0> Southampton F.C. <extra_id_1>
67,2020,"In 2020, <extra_id_0> is the chair of The CW.",<extra_id_0> Mark Pedowitz <extra_id_1>
68,2020,"In 2020, Anna J. Phillips works for <extra_id_0>.",<extra_id_0> National Museum of Natural History <extra_id_1>
69,2020,"In 2020, Antonio Valencia plays for <extra_id_0>.",<extra_id_0> Real Madrid CF <extra_id_1>
70,2020,"In 2020, Daniel Constantin is a member of the <extra_id_0>.",<extra_id_0> National Liberal Party <extra_id_1>
71,2020,"In 2020, Alberto Abadie works for <extra_id_0>.",<extra_id_0> Massachusetts Institute of Technology <extra_id_1>
72,2020,"In 2020, Susan B. Sinnott works for <extra_id_0>.",<extra_id_0> Pennsylvania State University <extra_id_1>
73,2020,"In 2020, <extra_id_0> is the head of the government of Pennsylvania.",<extra_id_0> Tom Wolf <extra_id_1>
74,2020,"In 2020, <extra_id_0> is the head coach of Poland national association football team.",<extra_id_0> Jerzy Brzęczek <extra_id_1>
75,2020,"In 2020, <extra_id_0> is the head of the government of Sardinia.",<extra_id_0> Christian Solinas <extra_id_1>
76,2020,"In 2020, Federico Macheda plays for <extra_id_0>.",<extra_id_0> Nottingham Forest F.C. <extra_id_1>
77,2020,"In 2020, <extra_id_0> is the head of the government of Florence.",<extra_id_0> Dario Nardella <extra_id_1>
78,2020,"In 2020, <extra_id_0> is the head of the government of Wassenaar.",<extra_id_0> Leendert de Lange <extra_id_1>
79,2020,"In 2020, Apryl A. Alexander works for <extra_id_0>.",<extra_id_0> University of Denver <extra_id_1>
80,2020,"In 2020, Johann-Dietrich Wörner holds the position of <extra_id_0>.",<extra_id_0> chief executive officer <extra_id_1>
81,2020,"In 2020, <extra_id_0> is the head of the government of Budapest District I.",<extra_id_0> Márta V. Naszályi <extra_id_1>
82,2020,"In 2020, Terry Mills is a member of the <extra_id_0>.",<extra_id_0> Territory Alliance <extra_id_1>
83,2020,"In 2020, Shavkat Mirziyoyev holds the position of <extra_id_0>.",<extra_id_0> President of Uzbekistan <extra_id_1>
84,2020,"In 2020, Regina E. Dugan works for <extra_id_0>.","<extra_id_0> Facebook, Inc. <extra_id_1>"
85,2020,"In 2020, Íñigo Errejón is a member of the <extra_id_0>.",<extra_id_0> Más País <extra_id_1>
86,2020,"In 2020, Bastian Schweinsteiger plays for <extra_id_0>.",<extra_id_0> Chicago Fire FC <extra_id_1>
87,2020,"In 2020, Fratelli Fabbri Editori is owned by <extra_id_0>.",<extra_id_0> Arnoldo Mondadori Editore <extra_id_1>
88,2020,"In 2020, South China Morning Post is owned by <extra_id_0>.",<extra_id_0> Alibaba Group <extra_id_1>
89,2020,"In 2020, George Boyd plays for <extra_id_0>.",<extra_id_0> Burnley F.C. <extra_id_1>
90,2020,"In 2020, Dennis Hood is a member of the <extra_id_0>.",<extra_id_0> Liberal Party of Australia <extra_id_1>
91,2020,"In 2020, Nelson Valdez plays for <extra_id_0>.",<extra_id_0> Seattle Sounders FC <extra_id_1>
92,2020,"In 2020, <extra_id_0> is the head coach of FK Liepāja.",<extra_id_0> Dmitry Molosh <extra_id_1>
93,2020,"In 2020, <extra_id_0> is the head coach of Ivory Coast national football team.",<extra_id_0> Ibrahim Kamara <extra_id_1>
94,2020,"In 2020, Sud de France Arena is owned by <extra_id_0>.",<extra_id_0> Occitania <extra_id_1>
95,2020,"In 2020, <extra_id_0> is the head coach of FK Olimpik.",<extra_id_0> Darko Vojvodić <extra_id_1>
96,2020,"In 2020, Michail Michailowitsch Kapranow works for <extra_id_0>.",<extra_id_0> Institute for the Physics and Mathematics of the Universe <extra_id_1>
97,2020,"In 2020, <extra_id_0> is the head coach of FC Illichivets Mariupol.",<extra_id_0> Oleksandr Babych <extra_id_1>
98,2020,"In 2020, <extra_id_0> is the head coach of Derby County F.C..",<extra_id_0> Phillip Cocu <extra_id_1>
99,2020,"In 2020, Yvan Benedetti is a member of the <extra_id_0>.",<extra_id_0> French nationalist party <extra_id_1>
100,2020,"In 2020, Paul McGowan plays for <extra_id_0>.",<extra_id_0> Dundee F.C. <extra_id_1>
101,2020,"In 2020, Kushboo is a member of the <extra_id_0>.",<extra_id_0> Bharatiya Janata Party <extra_id_1>
102,2020,"In 2020, Kelly Loeffler holds the position of <extra_id_0>.",<extra_id_0> United States senator <extra_id_1>
103,2020,"In 2020, <extra_id_0> is the head coach of Gazprom–RusVelo.",<extra_id_0> Alexander Serov <extra_id_1>
104,2020,"In 2020, Cat Hope works for <extra_id_0>.",<extra_id_0> Monash University <extra_id_1>
105,2020,"In 2020, <extra_id_0> is the chair of Democratic National Committee.",<extra_id_0> Thomas Perez <extra_id_1>
106,2020,"In 2020, <extra_id_0> is the head coach of Real Sociedad.",<extra_id_0> Imanol Alguacil <extra_id_1>
107,2020,"In 2020, <extra_id_0> is the head of the government of Poland.",<extra_id_0> Mateusz Morawiecki <extra_id_1>
108,2020,"In 2020, Tan Chuan-Jin holds the position of <extra_id_0>.",<extra_id_0> list of Speakers of the Parliament of Singapore <extra_id_1>
109,2020,"In 2020, Gabriela Pazmiño is a member of the <extra_id_0>.",<extra_id_0> Fuerza Ecuador <extra_id_1>
110,2020,"In 2020, Sally M. Foster works for <extra_id_0>.",<extra_id_0> University of Stirling <extra_id_1>
111,2020,"In 2020, <extra_id_0> is the head of the government of São Paulo.",<extra_id_0> Bruno Covas <extra_id_1>
112,2020,"In 2020, <extra_id_0> is the head of the government of São Paulo.",<extra_id_0> João Doria Júnior <extra_id_1>
113,2020,"In 2020, Javier Hernández plays for <extra_id_0>.",<extra_id_0> Los Angeles Galaxy <extra_id_1>
114,2020,"In 2020, <extra_id_0> is the head of the government of Odessa Oblast.",<extra_id_0> Maksym Stepanov <extra_id_1>
115,2020,"In 2020, <extra_id_0> is the head of the government of Saarbrücken.",<extra_id_0> Uwe Conradt <extra_id_1>
116,2020,"In 2020, <extra_id_0> is the head of the government of Guernsey.",<extra_id_0> Gavin St Pier <extra_id_1>
117,2020,"In 2020, <extra_id_0> is the head coach of FK Tuzla City.",<extra_id_0> Zlatan Nalić <extra_id_1>
118,2020,"In 2020, Ismaïl Aissati plays for <extra_id_0>.",<extra_id_0> FC Akhmat Grozny <extra_id_1>
119,2020,"In 2020, Jose Manuel Sabucedo works for <extra_id_0>.",<extra_id_0> University of Santiago de Compostela <extra_id_1>
120,2020,"In 2020, Lee Hyun-joo attended <extra_id_0>.",<extra_id_0> Sungshin Women's University <extra_id_1>
121,2020,"In 2020, John Galliano works for <extra_id_0>.",<extra_id_0> Maison Martin Margiela <extra_id_1>
122,2020,"In 2020, Tom Cleverley plays for <extra_id_0>.",<extra_id_0> Everton F.C. <extra_id_1>
123,2020,"In 2020, Helen McEntee holds the position of <extra_id_0>.",<extra_id_0> Teachta Dála <extra_id_1>
124,2020,"In 2020, Margaret Ferguson works for <extra_id_0>.",<extra_id_0> Indianapolis Business Journal <extra_id_1>
125,2020,"In 2020, Bojan Krkić plays for <extra_id_0>.",<extra_id_0> Stoke City F.C. <extra_id_1>
126,2020,"In 2020, <extra_id_0> is the head of the government of Bulgaria.",<extra_id_0> Boyko Borisov <extra_id_1>
127,2020,"In 2020, Patricia Scotland, Baroness Scotland of Asthal holds the position of <extra_id_0>.",<extra_id_0> Commonwealth Secretary-General <extra_id_1>
128,2020,"In 2020, James Howard works for <extra_id_0>.",<extra_id_0> Johns Hopkins University Applied Physics Laboratory <extra_id_1>
129,2020,"In 2020, <extra_id_0> is the head of the government of Andorra.",<extra_id_0> Xavier Espot Zamora <extra_id_1>
130,2020,"In 2020, Sebastian Kurz holds the position of <extra_id_0>.",<extra_id_0> Federal Chancellor of Austria <extra_id_1>
131,2020,"In 2020, Steven Naismith plays for <extra_id_0>.",<extra_id_0> Norwich City F.C. <extra_id_1>
132,2020,"In 2020, Dorien Herremans works for <extra_id_0>.",<extra_id_0> Queen Mary University of London <extra_id_1>
133,2020,"In 2020, Joseph Strickland holds the position of <extra_id_0>.",<extra_id_0> diocesan bishop <extra_id_1>
134,2020,"In 2020, Mitchell Johnson plays for <extra_id_0>.",<extra_id_0> Kolkata Knight Riders <extra_id_1>
135,2020,"In 2020, Anna Keay works for <extra_id_0>.",<extra_id_0> Landmark Trust <extra_id_1>
136,2020,"In 2020, Tony Renda works for <extra_id_0>.",<extra_id_0> Cincinnati Reds <extra_id_1>
137,2020,"In 2020, Guðni Jóhannesson holds the position of <extra_id_0>.",<extra_id_0> President of Iceland <extra_id_1>
138,2020,"In 2020, David Kaye works for <extra_id_0>.","<extra_id_0> University of California, Irvine <extra_id_1>"
139,2020,"In 2020, <extra_id_0> is the head of the government of Jiangsu.",<extra_id_0> Wu Zhenglong <extra_id_1>
140,2020,"In 2020, Bridget McKenzie holds the position of <extra_id_0>.",<extra_id_0> Member of the Australian Senate <extra_id_1>
141,2020,"In 2020, <extra_id_0> is the head coach of Atlético Madrid.",<extra_id_0> Diego Simeone <extra_id_1>
142,2020,"In 2020, Adam Chicksen plays for <extra_id_0>.",<extra_id_0> Brighton & Hove Albion F.C. <extra_id_1>
143,2020,"In 2020, <extra_id_0> is the head of the government of Cameroon.",<extra_id_0> Joseph Ngute <extra_id_1>
144,2020,"In 2020, <extra_id_0> is the head coach of Sporting CP.",<extra_id_0> Rúben Amorim <extra_id_1>
145,2020,"In 2020, The Eagle is owned by <extra_id_0>.",<extra_id_0> Berkshire Hathaway <extra_id_1>
146,2020,"In 2020, <extra_id_0> is the chair of All Progressives Congress.",<extra_id_0> Adams Oshiomhole <extra_id_1>
147,2020,"In 2020, Marcus Bosch works for <extra_id_0>.",<extra_id_0> Hochschule für Musik und Theater München <extra_id_1>
148,2020,"In 2020, <extra_id_0> is the chair of Gibraltar Socialist Labour Party.",<extra_id_0> Fabian Picardo <extra_id_1>
149,2020,"In 2020, <extra_id_0> is the head of the government of Saudi Arabia.",<extra_id_0> Salman of Saudi Arabia <extra_id_1>
150,2020,"In 2020, Don Bacon holds the position of <extra_id_0>.",<extra_id_0> United States representative <extra_id_1>
151,2020,"In 2020, <extra_id_0> is the head coach of OL Reign.",<extra_id_0> Farid Benstiti <extra_id_1>
152,2020,"In 2020, <extra_id_0> is the head coach of PFC Sochi.",<extra_id_0> Vladimir Valentinovich Fedotov <extra_id_1>
153,2020,"In 2020, Chris Hackett plays for <extra_id_0>.",<extra_id_0> Northampton Town F.C. <extra_id_1>
154,2020,"In 2020, <extra_id_0> is the chair of Association for the Advancement of Artificial Intelligence.",<extra_id_0> Yolanda Gil <extra_id_1>
155,2020,"In 2020, <extra_id_0> is the chair of Associated British Foods.",<extra_id_0> Michael McLintock <extra_id_1>
156,2020,"In 2020, Havas is owned by <extra_id_0>.",<extra_id_0> Vivendi <extra_id_1>
157,2020,"In 2020, <extra_id_0> is the head of the government of Lyon.",<extra_id_0> Gérard Collomb <extra_id_1>
158,2020,"In 2020, Eduardo da Silva plays for <extra_id_0>.",<extra_id_0> FC Shakhtar Donetsk <extra_id_1>
159,2020,"In 2020, <extra_id_0> is the head coach of FC Rukh Lviv.",<extra_id_0> Ivan Fedyk <extra_id_1>
160,2020,"In 2020, Robert John Reed, Lord Reed holds the position of <extra_id_0>.",<extra_id_0> Deputy President of the Supreme Court of the United Kingdom <extra_id_1>
