id,date,input,output
0,2010,Evan Horwood plays for <extra_id_0>.,<extra_id_0> Hartlepool United F.C. <extra_id_1>
1,2010,Ghulam Rasool Sahi is a member of the <extra_id_0>.,<extra_id_0> Pakistan Muslim League (Q) <extra_id_1>
2,2010,Yuli Edelstein holds the position of <extra_id_0>.,<extra_id_0> Minister of Diaspora Affairs <extra_id_1>
3,2010,Sanath Jayasuriya plays for <extra_id_0>.,<extra_id_0> Worcestershire <extra_id_1>
4,2010,<extra_id_0> is the head coach of FC Granit Mikashevichi.,<extra_id_0> Valery Bakhno <extra_id_1>
5,2010,Gloria Macapagal-Arroyo holds the position of <extra_id_0>.,<extra_id_0> President of the Philippines <extra_id_1>
6,2010,Michael Spindelegger holds the position of <extra_id_0>.,<extra_id_0> Foreign Minister of Austria <extra_id_1>
7,2010,Nicola Gaston works for <extra_id_0>.,<extra_id_0> MacDiarmid Institute for Advanced Materials and Nanotechnology <extra_id_1>
8,2010,Júlio César plays for <extra_id_0>.,<extra_id_0> Inter Milan <extra_id_1>
9,2010,Nick Swisher plays for <extra_id_0>.,<extra_id_0> New York Yankees <extra_id_1>
10,2010,Ilya Ponomarev is a member of the <extra_id_0>.,<extra_id_0> A Just Russia <extra_id_1>
11,2010,<extra_id_0> is the head coach of St. Mirren F.C..,<extra_id_0> Danny Lennon <extra_id_1>
12,2010,"Jim Wallace, Baron Wallace of Tankerness holds the position of <extra_id_0>.",<extra_id_0> Advocate General for Scotland <extra_id_1>
13,2010,<extra_id_0> is the head coach of Germany national handball team.,<extra_id_0> Heiner Brand <extra_id_1>
14,2010,<extra_id_0> is the head coach of FC Bayern Munich.,<extra_id_0> Louis van Gaal <extra_id_1>
15,2010,Luke Freeman plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
16,2010,Bruno Mantovani works for <extra_id_0>.,<extra_id_0> Conservatoire de Paris <extra_id_1>
17,2010,Antonio Di Natale plays for <extra_id_0>.,<extra_id_0> Udinese Calcio <extra_id_1>
18,2010,Sebastian Giovinco plays for <extra_id_0>.,<extra_id_0> Parma Calcio 1913 <extra_id_1>
19,2010,Dwight Tiendalli plays for <extra_id_0>.,<extra_id_0> FC Twente <extra_id_1>
20,2010,Andrew D. Martin works for <extra_id_0>.,<extra_id_0> Washington University in St. Louis <extra_id_1>
21,2010,Wu Den-yih holds the position of <extra_id_0>.,<extra_id_0> President of the Executive Yuan <extra_id_1>
22,2010,Anna Júlia Donáth attended <extra_id_0>.,<extra_id_0> Eötvös Loránd University <extra_id_1>
23,2010,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Iran national under-17 football team <extra_id_1>
24,2010,<extra_id_0> is the chair of International Shooting Sport Federation.,<extra_id_0> Olegario Vázquez Raña <extra_id_1>
25,2010,Sarah Feinberg works for <extra_id_0>.,<extra_id_0> White House Office <extra_id_1>
26,2010,<extra_id_0> is the chair of Moscow Mathematical Society.,<extra_id_0> Viktor Vasilyev <extra_id_1>
27,2010,David Castle works for <extra_id_0>.,<extra_id_0> University of Edinburgh <extra_id_1>
28,2010,Alexis Sánchez plays for <extra_id_0>.,<extra_id_0> Udinese Calcio <extra_id_1>
29,2010,Anne Madden attended <extra_id_0>.,<extra_id_0> Tufts University <extra_id_1>
30,2010,Ingebjørg Godskesen is a member of the <extra_id_0>.,<extra_id_0> Progress Party <extra_id_1>
31,2010,Xavier Bertrand is a member of the <extra_id_0>.,<extra_id_0> Union for a Popular Movement <extra_id_1>
32,2010,Akhtarul Iman is a member of the <extra_id_0>.,<extra_id_0> Rashtriya Janata Dal <extra_id_1>
33,2010,Jessica Valenti works for <extra_id_0>.,<extra_id_0> The Nation <extra_id_1>
34,2010,<extra_id_0> is the head coach of FC Krasnodar.,<extra_id_0> Slavoljub Muslin <extra_id_1>
35,2010,Steve Womack holds the position of <extra_id_0>.,<extra_id_0> mayor <extra_id_1>
36,2010,Íñigo Méndez de Vigo holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
37,2010,Louis Bontes is a member of the <extra_id_0>.,<extra_id_0> Party for Freedom <extra_id_1>
38,2010,Caroline McMillen works for <extra_id_0>.,<extra_id_0> University of South Australia <extra_id_1>
39,2010,Sabine Carey works for <extra_id_0>.,<extra_id_0> University of Mannheim <extra_id_1>
40,2010,Tabaré Vázquez holds the position of <extra_id_0>.,<extra_id_0> President of Uruguay <extra_id_1>
41,2010,Carson Palmer plays for <extra_id_0>.,<extra_id_0> Cincinnati Bengals <extra_id_1>
42,2010,<extra_id_0> is the head coach of FC Chita.,<extra_id_0> Andrey Nedorezov <extra_id_1>
43,2010,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
44,2010,<extra_id_0> is the chair of University of Waterloo.,<extra_id_0> David Johnston <extra_id_1>
45,2010,<extra_id_0> is the head coach of SC Freiburg.,<extra_id_0> Robin Dutt <extra_id_1>
46,2010,<extra_id_0> is the head coach of A.C. Pisa 1909.,<extra_id_0> Leonardo Semplici <extra_id_1>
47,2010,<extra_id_0> is the head coach of Armenia national football team.,<extra_id_0> Vardan Minasyan <extra_id_1>
48,2010,<extra_id_0> is the chair of Association for Computing Machinery.,<extra_id_0> Wendy Hall <extra_id_1>
49,2010,Sarath Fonseka is a member of the <extra_id_0>.,<extra_id_0> New Democratic Front <extra_id_1>
50,2010,Philippe Verdier works for <extra_id_0>.,<extra_id_0> BFM TV <extra_id_1>
51,2010,Mark Cavendish plays for <extra_id_0>.,<extra_id_0> HTC-Highroad <extra_id_1>
52,2010,<extra_id_0> is the chair of Ministry of Internal Affairs of Ukraine.,<extra_id_0> Yuriy Lutsenko <extra_id_1>
53,2010,Wonpil Im works for <extra_id_0>.,<extra_id_0> University of Kansas <extra_id_1>
54,2010,Fraser Forster plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
55,2010,<extra_id_0> is the chair of The CW.,<extra_id_0> Dawn Ostroff <extra_id_1>
56,2010,Antonio Valencia plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
57,2010,Daniel Constantin is a member of the <extra_id_0>.,<extra_id_0> Conservative Party <extra_id_1>
58,2010,Benigno Aquino III holds the position of <extra_id_0>.,<extra_id_0> President of the Philippines <extra_id_1>
59,2010,Alberto Abadie works for <extra_id_0>.,<extra_id_0> Harvard University <extra_id_1>
60,2010,Michael Chopra plays for <extra_id_0>.,<extra_id_0> Cardiff City F.C. <extra_id_1>
61,2010,Susan B. Sinnott works for <extra_id_0>.,<extra_id_0> University of Florida <extra_id_1>
62,2010,Douglas Crockford works for <extra_id_0>.,<extra_id_0> Yahoo <extra_id_1>
63,2010,<extra_id_0> is the head of the government of Pennsylvania.,<extra_id_0> Ed Rendell <extra_id_1>
64,2010,Diego Milito plays for <extra_id_0>.,<extra_id_0> Inter Milan <extra_id_1>
65,2010,<extra_id_0> is the head coach of Poland national association football team.,<extra_id_0> Franciszek Smuda <extra_id_1>
66,2010,<extra_id_0> is the head of the government of Sardinia.,<extra_id_0> Ugo Cappellacci <extra_id_1>
67,2010,Federico Macheda plays for <extra_id_0>.,<extra_id_0> Italy national under-21 football team <extra_id_1>
68,2010,<extra_id_0> is the head of the government of Florence.,<extra_id_0> Matteo Renzi <extra_id_1>
69,2010,Johann-Dietrich Wörner holds the position of <extra_id_0>.,<extra_id_0> director <extra_id_1>
70,2010,<extra_id_0> is the head of the government of Budapest District I.,<extra_id_0> Gábor Tamás Nagy <extra_id_1>
71,2010,Terry Mills is a member of the <extra_id_0>.,<extra_id_0> Country Liberal Party <extra_id_1>
72,2010,Shavkat Mirziyoyev holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Uzbekistan <extra_id_1>
73,2010,Regina E. Dugan works for <extra_id_0>.,<extra_id_0> DARPA <extra_id_1>
74,2010,Bastian Schweinsteiger plays for <extra_id_0>.,<extra_id_0> Germany national association football team <extra_id_1>
75,2010,Fratelli Fabbri Editori is owned by <extra_id_0>.,<extra_id_0> RCS MediaGroup <extra_id_1>
76,2010,Karen Handel holds the position of <extra_id_0>.,<extra_id_0> Secretary of State of Georgia <extra_id_1>
77,2010,South China Morning Post is owned by <extra_id_0>.,<extra_id_0> Great Wall Pan Asia Holdings <extra_id_1>
78,2010,George Boyd plays for <extra_id_0>.,<extra_id_0> Nottingham Forest F.C. <extra_id_1>
79,2010,Dennis Hood is a member of the <extra_id_0>.,<extra_id_0> Family First Party <extra_id_1>
80,2010,Chauncey Billups plays for <extra_id_0>.,<extra_id_0> Denver Nuggets <extra_id_1>
81,2010,Nelson Valdez plays for <extra_id_0>.,<extra_id_0> Borussia Dortmund <extra_id_1>
82,2010,<extra_id_0> is the head coach of Ivory Coast national football team.,<extra_id_0> Sven-Göran Eriksson <extra_id_1>
83,2010,Sud de France Arena is owned by <extra_id_0>.,<extra_id_0> Languedoc-Roussillon <extra_id_1>
84,2010,Michail Michailowitsch Kapranow works for <extra_id_0>.,<extra_id_0> Yale University <extra_id_1>
85,2010,Mike Harrington works for <extra_id_0>.,<extra_id_0> Google <extra_id_1>
86,2010,Yvan Benedetti is a member of the <extra_id_0>.,<extra_id_0> National Rally <extra_id_1>
87,2010,Paul McGowan plays for <extra_id_0>.,<extra_id_0> Celtic F.C. <extra_id_1>
88,2010,Kushboo is a member of the <extra_id_0>.,<extra_id_0> Dravida Munnetra Kazhagam <extra_id_1>
89,2010,<extra_id_0> is the head of the government of Poland.,<extra_id_0> Donald Tusk <extra_id_1>
90,2010,Gabriela Pazmiño is a member of the <extra_id_0>.,<extra_id_0> Ecuadorian Roldosist Party <extra_id_1>
91,2010,Gabriela Pazmiño works for <extra_id_0>.,<extra_id_0> TC Televisión <extra_id_1>
92,2010,Peter Hain holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Wales <extra_id_1>
93,2010,Sally M. Foster works for <extra_id_0>.,<extra_id_0> University of Glasgow <extra_id_1>
94,2010,<extra_id_0> is the head of the government of São Paulo.,<extra_id_0> Gilberto Kassab <extra_id_1>
95,2010,<extra_id_0> is the head of the government of São Paulo.,<extra_id_0> José Serra <extra_id_1>
96,2010,Javier Hernández plays for <extra_id_0>.,<extra_id_0> C.D. Guadalajara <extra_id_1>
97,2010,Anne Tolley holds the position of <extra_id_0>.,<extra_id_0> Minister of Education <extra_id_1>
98,2010,<extra_id_0> is the head of the government of Odessa Oblast.,<extra_id_0> Ihor Palytsia <extra_id_1>
99,2010,James Franklin Jeffrey holds the position of <extra_id_0>.,<extra_id_0> United States Ambassador to Iraq <extra_id_1>
100,2010,Jake Bernstein works for <extra_id_0>.,<extra_id_0> ProPublica <extra_id_1>
101,2010,<extra_id_0> is the head of the government of Saarbrücken.,<extra_id_0> Charlotte Britz <extra_id_1>
102,2010,Ismaïl Aissati plays for <extra_id_0>.,<extra_id_0> AFC Ajax <extra_id_1>
