id,date,input,output
0,2011,Evan Horwood plays for <extra_id_0>.,<extra_id_0> Hartlepool United F.C. <extra_id_1>
1,2011,Ghulam Rasool Sahi is a member of the <extra_id_0>.,<extra_id_0> Pakistan Muslim League (Q) <extra_id_1>
2,2011,Yuli Edelstein holds the position of <extra_id_0>.,<extra_id_0> Minister of Diaspora Affairs <extra_id_1>
3,2011,Sanath Jayasuriya plays for <extra_id_0>.,<extra_id_0> Ruhuna Royals <extra_id_1>
4,2011,<extra_id_0> is the head coach of FC Granit Mikashevichi.,<extra_id_0> Valery Bakhno <extra_id_1>
5,2011,Michael Spindelegger holds the position of <extra_id_0>.,<extra_id_0> Vice-Chancellor of Austria <extra_id_1>
6,2011,Nicola Gaston works for <extra_id_0>.,<extra_id_0> MacDiarmid Institute for Advanced Materials and Nanotechnology <extra_id_1>
7,2011,Júlio César plays for <extra_id_0>.,<extra_id_0> Inter Milan <extra_id_1>
8,2011,Nick Swisher plays for <extra_id_0>.,<extra_id_0> New York Yankees <extra_id_1>
9,2011,Ilya Ponomarev is a member of the <extra_id_0>.,<extra_id_0> A Just Russia <extra_id_1>
10,2011,<extra_id_0> is the head coach of St. Mirren F.C..,<extra_id_0> Danny Lennon <extra_id_1>
11,2011,"Jim Wallace, Baron Wallace of Tankerness holds the position of <extra_id_0>.",<extra_id_0> Advocate General for Scotland <extra_id_1>
12,2011,<extra_id_0> is the head coach of Germany national handball team.,<extra_id_0> Martin Heuberger <extra_id_1>
13,2011,<extra_id_0> is the head coach of FC Bayern Munich.,<extra_id_0> Andries Jonker <extra_id_1>
14,2011,Luke Freeman plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
15,2011,Bruno Mantovani works for <extra_id_0>.,<extra_id_0> Conservatoire de Paris <extra_id_1>
16,2011,Antonio Di Natale plays for <extra_id_0>.,<extra_id_0> Udinese Calcio <extra_id_1>
17,2011,Sebastian Giovinco plays for <extra_id_0>.,<extra_id_0> Parma Calcio 1913 <extra_id_1>
18,2011,Dwight Tiendalli plays for <extra_id_0>.,<extra_id_0> FC Twente <extra_id_1>
19,2011,Andrew D. Martin works for <extra_id_0>.,<extra_id_0> Washington University in St. Louis <extra_id_1>
20,2011,Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.,<extra_id_0> chairperson <extra_id_1>
21,2011,Wu Den-yih holds the position of <extra_id_0>.,<extra_id_0> President of the Executive Yuan <extra_id_1>
22,2011,Anna Júlia Donáth attended <extra_id_0>.,<extra_id_0> Eötvös Loránd University <extra_id_1>
23,2011,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Iran national under-17 football team <extra_id_1>
24,2011,<extra_id_0> is the chair of International Shooting Sport Federation.,<extra_id_0> Olegario Vázquez Raña <extra_id_1>
25,2011,Sarah Feinberg works for <extra_id_0>.,<extra_id_0> Bloomberg L.P. <extra_id_1>
26,2011,<extra_id_0> is the chair of Moscow Mathematical Society.,<extra_id_0> Viktor Vasilyev <extra_id_1>
