index,original,date,input,output
0,4,2014,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,17,2014,LeBron James plays for <extra_id_0>.,<extra_id_0> Cleveland Cavaliers <extra_id_1>
2,28,2014,Bradley Wiggins plays for <extra_id_0>.,<extra_id_0> Ineos Grenadier <extra_id_1>
3,35,2014,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
4,46,2014,Steve Smith plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
5,57,2014,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
6,68,2014,Michael Owen plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
7,75,2014,Erin McLeod plays for <extra_id_0>.,<extra_id_0> Houston Dash <extra_id_1>
8,86,2014,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
9,94,2014,Dida plays for <extra_id_0>.,<extra_id_0> S.C. Internacional <extra_id_1>
10,100,2014,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
11,111,2014,Vince Carter plays for <extra_id_0>.,<extra_id_0> Memphis Grizzlies <extra_id_1>
12,122,2014,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Brazil national football team <extra_id_1>
13,133,2014,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national under-21 football team <extra_id_1>
14,144,2014,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Netherlands national association football team <extra_id_1>
15,154,2014,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> Royal Challengers Bangalore <extra_id_1>
16,165,2014,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Washington Spirit <extra_id_1>
17,176,2014,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
18,187,2014,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> West Bromwich Albion F.C. <extra_id_1>
19,198,2014,David Dunn plays for <extra_id_0>.,<extra_id_0> Blackburn Rovers F.C. <extra_id_1>
20,205,2014,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
21,215,2014,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
22,222,2014,Juan Román Riquelme plays for <extra_id_0>.,<extra_id_0> A.A. Argentinos Juniors <extra_id_1>
23,229,2014,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Portland Trail Blazers <extra_id_1>
24,240,2014,James Rodríguez plays for <extra_id_0>.,<extra_id_0> AS Monaco FC <extra_id_1>
25,259,2014,Javier Hernández plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
26,270,2014,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
27,288,2014,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Colchester United F.C. <extra_id_1>
28,302,2014,Xabi Alonso plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
29,310,2014,Jonny Wilkinson plays for <extra_id_0>.,<extra_id_0> RC Toulonnais <extra_id_1>
30,321,2014,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Lancashire County Cricket Club <extra_id_1>
31,332,2014,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Southampton F.C. <extra_id_1>
32,343,2014,Chauncey Billups plays for <extra_id_0>.,<extra_id_0> Detroit Pistons <extra_id_1>
33,348,2014,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Sol de América de Formosa <extra_id_1>
34,359,2014,Jermaine O'Neal plays for <extra_id_0>.,<extra_id_0> Golden State Warriors <extra_id_1>
35,364,2014,Carlos Vela plays for <extra_id_0>.,<extra_id_0> Real Sociedad <extra_id_1>
36,374,2014,Nani plays for <extra_id_0>.,<extra_id_0> Sporting CP <extra_id_1>
37,385,2014,Edinson Cavani plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
38,396,2014,Steve Morison plays for <extra_id_0>.,<extra_id_0> Leeds United F.C. <extra_id_1>
39,407,2014,Sam Bradford plays for <extra_id_0>.,<extra_id_0> Los Angeles Rams <extra_id_1>
40,418,2014,Eiji Kawashima plays for <extra_id_0>.,<extra_id_0> Standard Liège <extra_id_1>
41,429,2014,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
42,440,2014,Lee Boylan plays for <extra_id_0>.,<extra_id_0> Maldon & Tiptree football club <extra_id_1>
43,445,2014,Jennison Myrie-Williams plays for <extra_id_0>.,<extra_id_0> Port Vale F.C. <extra_id_1>
44,451,2014,Omar Abdulrahman plays for <extra_id_0>.,<extra_id_0> United Arab Emirates national football team <extra_id_1>
45,462,2014,Jarryd Hayne plays for <extra_id_0>.,<extra_id_0> Australia national rugby league team <extra_id_1>
46,467,2014,Tom Ince plays for <extra_id_0>.,<extra_id_0> Crystal Palace F.C. <extra_id_1>
47,473,2014,Shahid Afridi plays for <extra_id_0>.,<extra_id_0> Melbourne Renegades <extra_id_1>
48,484,2014,Kostas Manolas plays for <extra_id_0>.,<extra_id_0> Olympiacos F.C. <extra_id_1>
49,495,2014,Diego Forlán plays for <extra_id_0>.,<extra_id_0> Uruguay national football team <extra_id_1>
50,506,2014,Rafael van der Vaart plays for <extra_id_0>.,<extra_id_0> Hamburger SV <extra_id_1>
51,513,2014,Tyus Jones plays for <extra_id_0>.,<extra_id_0> Duke Blue Devils men's basketball <extra_id_1>
52,519,2014,Jens Voigt plays for <extra_id_0>.,<extra_id_0> Trek-Segafredo <extra_id_1>
53,524,2014,Sue Bird plays for <extra_id_0>.,<extra_id_0> UMMC Ekaterinburg <extra_id_1>
54,529,2014,Vincenzo Nibali plays for <extra_id_0>.,<extra_id_0> Astana <extra_id_1>
55,540,2014,Shane Duffy plays for <extra_id_0>.,<extra_id_0> Blackburn Rovers F.C. <extra_id_1>
56,551,2014,Stephen Dobbie plays for <extra_id_0>.,<extra_id_0> Fleetwood Town F.C. <extra_id_1>
57,558,2014,Diego Biseswar plays for <extra_id_0>.,<extra_id_0> Kayserispor <extra_id_1>
58,569,2014,Tillakaratne Dilshan plays for <extra_id_0>.,<extra_id_0> Sydney Thunder <extra_id_1>
59,574,2014,Yohan Cabaye plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
60,585,2014,Emmanuel Adebayor plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
61,596,2014,Patrick Bamford plays for <extra_id_0>.,<extra_id_0> Derby County F.C. <extra_id_1>
62,607,2014,Steve Jones plays for <extra_id_0>.,<extra_id_0> Airbus UK Broughton F.C. <extra_id_1>
63,618,2014,Mikel John Obi plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
64,629,2014,Maria Jose Altamirano plays for <extra_id_0>.,<extra_id_0> Rabita Baku <extra_id_1>
65,640,2014,Sölvi Ottesen plays for <extra_id_0>.,<extra_id_0> FC Ural Yekaterinburg <extra_id_1>
66,651,2014,Steve Smith Sr. plays for <extra_id_0>.,<extra_id_0> Baltimore Ravens <extra_id_1>
67,658,2014,Umar Akmal plays for <extra_id_0>.,<extra_id_0> Sui Northern Gas Pipelines Limited <extra_id_1>
68,669,2014,Kirk Hinrich plays for <extra_id_0>.,<extra_id_0> Chicago Bulls <extra_id_1>
69,672,2014,Deshaun Watson plays for <extra_id_0>.,<extra_id_0> Clemson Tigers football <extra_id_1>
70,683,2014,Jacoby Ellsbury plays for <extra_id_0>.,<extra_id_0> New York Yankees <extra_id_1>
71,693,2014,Raúl Jiménez plays for <extra_id_0>.,<extra_id_0> Mexico national football team <extra_id_1>
72,700,2014,Tyler Ulis plays for <extra_id_0>.,<extra_id_0> Kentucky Wildcats men's basketball <extra_id_1>
73,710,2014,Mathieu Valbuena plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
74,721,2014,Armand Traoré plays for <extra_id_0>.,<extra_id_0> Queens Park Rangers F.C. <extra_id_1>
75,724,2014,Kylian Mbappé plays for <extra_id_0>.,<extra_id_0> France national under-17 football team <extra_id_1>
76,735,2014,Jimmy Abdou plays for <extra_id_0>.,<extra_id_0> Comoros national football team <extra_id_1>
77,746,2014,Ashley Cole plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
78,760,2014,Calais Campbell plays for <extra_id_0>.,<extra_id_0> Arizona Cardinals <extra_id_1>
79,775,2014,Joe Cole plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
80,784,2014,Gary Cahill plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
81,795,2014,J. J. Redick plays for <extra_id_0>.,<extra_id_0> Los Angeles Clippers <extra_id_1>
82,806,2014,James Taylor plays for <extra_id_0>.,<extra_id_0> Nottinghamshire County Cricket Club <extra_id_1>
83,823,2014,Callum Ferguson plays for <extra_id_0>.,<extra_id_0> Melbourne Renegades <extra_id_1>
84,834,2014,Daniel Xhafa plays for <extra_id_0>.,<extra_id_0> KF Teuta Durrës <extra_id_1>
85,840,2014,Hamdi Salihi plays for <extra_id_0>.,<extra_id_0> Hapoel Acre A.F.C. <extra_id_1>
86,850,2014,Clayton Donaldson plays for <extra_id_0>.,<extra_id_0> Birmingham City F.C. <extra_id_1>
87,861,2014,Rangana Herath plays for <extra_id_0>.,<extra_id_0> Tamil Union Cricket and Athletic Club <extra_id_1>
88,872,2014,Sébastien Bassong plays for <extra_id_0>.,<extra_id_0> Watford F.C. <extra_id_1>
89,878,2014,Kevin Trapp plays for <extra_id_0>.,<extra_id_0> Eintracht Frankfurt <extra_id_1>
90,887,2014,Kristaps Porziņģis plays for <extra_id_0>.,<extra_id_0> Real Betis Baloncesto <extra_id_1>
91,898,2014,Elis Bakaj plays for <extra_id_0>.,<extra_id_0> FC Chornomorets Odesa <extra_id_1>
92,909,2014,David James plays for <extra_id_0>.,<extra_id_0> Kerala Blasters FC <extra_id_1>
93,914,2014,Blaise Matuidi plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
94,925,2014,Filipe Morais plays for <extra_id_0>.,<extra_id_0> Stevenage F.C. <extra_id_1>
95,936,2014,Ki Sung-yueng plays for <extra_id_0>.,<extra_id_0> Sunderland A.F.C. <extra_id_1>
96,941,2014,Patrick Mahomes plays for <extra_id_0>.,<extra_id_0> Texas Tech Red Raiders football <extra_id_1>
97,952,2014,André-Pierre Gignac plays for <extra_id_0>.,<extra_id_0> Olympique de Marseille <extra_id_1>
98,958,2014,Marouane Chamakh plays for <extra_id_0>.,<extra_id_0> Crystal Palace F.C. <extra_id_1>
99,964,2014,Zesh Rehman plays for <extra_id_0>.,<extra_id_0> Kitchee SC <extra_id_1>
100,975,2014,Matt Prior plays for <extra_id_0>.,<extra_id_0> England and Wales cricket team <extra_id_1>
101,981,2014,Lasith Malinga plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
102,993,2014,Benji Marshall plays for <extra_id_0>.,<extra_id_0> Blues <extra_id_1>
103,1014,2014,Jeroen Zoet plays for <extra_id_0>.,<extra_id_0> PSV Eindhoven <extra_id_1>
104,1028,2014,Michael Clarke plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
105,1034,2014,Sol Bamba plays for <extra_id_0>.,<extra_id_0> Palermo FC <extra_id_1>
106,1040,2014,Anderson plays for <extra_id_0>.,<extra_id_0> ACF Fiorentina <extra_id_1>
107,1051,2014,Jacques Kallis plays for <extra_id_0>.,<extra_id_0> Sydney Thunder <extra_id_1>
108,1057,2014,Isaiah Thomas plays for <extra_id_0>.,<extra_id_0> Sacramento Kings <extra_id_1>
109,1068,2014,John Degenkolb plays for <extra_id_0>.,<extra_id_0> Team Sunweb <extra_id_1>
110,1076,2014,Alex Hales plays for <extra_id_0>.,<extra_id_0> Adelaide Strikers <extra_id_1>
111,1087,2014,Chris Beardsley plays for <extra_id_0>.,<extra_id_0> Preston North End F.C. <extra_id_1>
112,1098,2014,Moussa Sissoko plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
113,1109,2014,Jonathan Sexton plays for <extra_id_0>.,<extra_id_0> British & Irish Lions <extra_id_1>
114,1120,2014,Tim Paine plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
115,1131,2014,Patrick Kisnorbo plays for <extra_id_0>.,<extra_id_0> Melbourne City Football Club <extra_id_1>
116,1142,2014,Andrew Bogut plays for <extra_id_0>.,<extra_id_0> Golden State Warriors <extra_id_1>
117,1148,2014,Marco Materazzi plays for <extra_id_0>.,<extra_id_0> Chennai ISL team <extra_id_1>
118,1153,2014,Tommy Elphick plays for <extra_id_0>.,<extra_id_0> AFC Bournemouth <extra_id_1>
119,1164,2014,David Edgar plays for <extra_id_0>.,<extra_id_0> Burnley F.C. <extra_id_1>
120,1174,2014,Paulo Dybala plays for <extra_id_0>.,<extra_id_0> Palermo FC <extra_id_1>
121,1185,2014,Gary Roberts plays for <extra_id_0>.,<extra_id_0> Gap Connah's Quay F.C. <extra_id_1>
122,1191,2014,Wout Brama plays for <extra_id_0>.,<extra_id_0> PEC Zwolle <extra_id_1>
123,1202,2014,Victor Oladipo plays for <extra_id_0>.,<extra_id_0> Orlando Magic <extra_id_1>
124,1213,2014,Víctor Ibarbo plays for <extra_id_0>.,<extra_id_0> Cagliari Calcio <extra_id_1>
125,1227,2014,Anthony Martial plays for <extra_id_0>.,<extra_id_0> France national under-21 football team <extra_id_1>
126,1238,2014,Gentjan Muça plays for <extra_id_0>.,<extra_id_0> KF Tirana <extra_id_1>
127,1249,2014,Owen Farrell plays for <extra_id_0>.,<extra_id_0> England national rugby union team <extra_id_1>
128,1260,2014,Tyler Clippard plays for <extra_id_0>.,<extra_id_0> Washington Nationals <extra_id_1>
129,1271,2014,Dejan Lovren plays for <extra_id_0>.,<extra_id_0> Southampton F.C. <extra_id_1>
130,1285,2014,Salomon Kalou plays for <extra_id_0>.,<extra_id_0> Hertha BSC <extra_id_1>
131,1296,2014,Xherdan Shaqiri plays for <extra_id_0>.,<extra_id_0> Swiss national football team <extra_id_1>
132,1307,2014,Tom Kennedy plays for <extra_id_0>.,<extra_id_0> Rochdale A.F.C. <extra_id_1>
133,1318,2014,Raphaël Varane plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
134,1329,2014,Michael Hussey plays for <extra_id_0>.,<extra_id_0> Sydney Thunder <extra_id_1>
135,1336,2014,Tony McMahon plays for <extra_id_0>.,<extra_id_0> Blackpool F.C. <extra_id_1>
136,1342,2014,Amr Zaki plays for <extra_id_0>.,<extra_id_0> Al Ahed FC <extra_id_1>
137,1348,2014,Mitchell Johnson plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
138,1361,2014,John Guidetti plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
139,1372,2014,Karim Matmour plays for <extra_id_0>.,<extra_id_0> 1. FC Kaiserslautern <extra_id_1>
140,1383,2014,Greg Pearson plays for <extra_id_0>.,<extra_id_0> Nuneaton Borough F.C. <extra_id_1>
141,1396,2014,Sanchez Watt plays for <extra_id_0>.,<extra_id_0> Colchester United F.C. <extra_id_1>
142,1407,2014,Danny Hollands plays for <extra_id_0>.,<extra_id_0> Portsmouth F.C. <extra_id_1>
143,1411,2014,Edgar Davids plays for <extra_id_0>.,<extra_id_0> Barnet F.C. <extra_id_1>
144,1416,2014,Aleksandar Đurić plays for <extra_id_0>.,<extra_id_0> Tampines Rovers FC <extra_id_1>
145,1421,2014,Adam Priestley plays for <extra_id_0>.,<extra_id_0> Farsley Celtic F.C. <extra_id_1>
146,1432,2014,Glen Johnson plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
147,1441,2014,Agon Mehmeti plays for <extra_id_0>.,<extra_id_0> Palermo FC <extra_id_1>
148,1452,2014,Marta plays for <extra_id_0>.,<extra_id_0> Tyresö FF <extra_id_1>
149,1463,2014,Hashim Mahomed Amla plays for <extra_id_0>.,<extra_id_0> South Africa national cricket team <extra_id_1>
150,1474,2014,Andrea Bargnani plays for <extra_id_0>.,<extra_id_0> New York Knicks <extra_id_1>
151,1484,2014,Teddy Bridgewater plays for <extra_id_0>.,<extra_id_0> Minnesota Vikings <extra_id_1>
152,1494,2014,Thibaut Curtua plays for <extra_id_0>.,<extra_id_0> Atlético Madrid <extra_id_1>
153,1511,2014,Jérôme Boateng plays for <extra_id_0>.,<extra_id_0> FC Bayern Munich <extra_id_1>
154,1522,2014,Zoltán Stieber plays for <extra_id_0>.,<extra_id_0> Hungary national association football team <extra_id_1>
155,1533,2014,Ali Karimi plays for <extra_id_0>.,<extra_id_0> Tractor S.C. <extra_id_1>
156,1545,2014,Babar Azam plays for <extra_id_0>.,<extra_id_0> Islamabad Leopards <extra_id_1>
157,1556,2014,Gareth Barry plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
158,1567,2014,Jermaine Pennant plays for <extra_id_0>.,<extra_id_0> FC Pune City <extra_id_1>
159,1578,2014,Chris Baird plays for <extra_id_0>.,<extra_id_0> Burnley F.C. <extra_id_1>
160,1589,2014,André Ayew plays for <extra_id_0>.,<extra_id_0> Olympique de Marseille <extra_id_1>
161,1600,2014,Kevin Nolan plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
162,1611,2014,Steven Naismith plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
163,1622,2014,Shivnarine Chanderpaul plays for <extra_id_0>.,<extra_id_0> Derbyshire County Cricket Club <extra_id_1>
164,1632,2014,Alex Oxlade-Chamberlain plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
165,1643,2014,Nikola Mirotić plays for <extra_id_0>.,<extra_id_0> Chicago Bulls <extra_id_1>
166,1654,2014,Katie Chapman plays for <extra_id_0>.,<extra_id_0> Chelsea L.F.C. <extra_id_1>
