index,original,date,input,output
0,2,2012,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Ducati Motor Holding S.p.A. <extra_id_1>
1,15,2012,LeBron James plays for <extra_id_0>.,<extra_id_0> Miami Heat <extra_id_1>
2,26,2012,Bradley Wiggins plays for <extra_id_0>.,<extra_id_0> Ineos Grenadier <extra_id_1>
3,33,2012,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
4,44,2012,Steve Smith plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
5,55,2012,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
6,66,2012,Michael Owen plays for <extra_id_0>.,<extra_id_0> Stoke City F.C. <extra_id_1>
7,73,2012,Erin McLeod plays for <extra_id_0>.,<extra_id_0> Dalsjöfors GoIF <extra_id_1>
8,84,2012,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Uthura Rudras <extra_id_1>
9,92,2012,Dida plays for <extra_id_0>.,<extra_id_0> Associação Portuguesa de Desportos <extra_id_1>
10,98,2012,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
11,109,2012,Vince Carter plays for <extra_id_0>.,<extra_id_0> Dallas Mavericks <extra_id_1>
12,120,2012,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Brazil national football team <extra_id_1>
13,131,2012,Harry Kane plays for <extra_id_0>.,<extra_id_0> Norwich City F.C. <extra_id_1>
14,142,2012,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
15,152,2012,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> India national cricket team <extra_id_1>
16,163,2012,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> FCR 2001 Duisburg <extra_id_1>
17,174,2012,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
18,185,2012,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
19,196,2012,David Dunn plays for <extra_id_0>.,<extra_id_0> Blackburn Rovers F.C. <extra_id_1>
20,203,2012,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
21,213,2012,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national under-20 football team <extra_id_1>
22,227,2012,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Weber State Wildcats men's basketball <extra_id_1>
23,238,2012,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Futebol Clube do Porto <extra_id_1>
24,249,2012,Mashrafe Mortaza plays for <extra_id_0>.,<extra_id_0> Dhaka Dynamites <extra_id_1>
25,257,2012,Javier Hernández plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
26,268,2012,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
27,286,2012,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Colchester United F.C. <extra_id_1>
28,297,2012,Sourav Ganguly plays for <extra_id_0>.,<extra_id_0> Pune Warriors India <extra_id_1>
29,300,2012,Xabi Alonso plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
30,308,2012,Jonny Wilkinson plays for <extra_id_0>.,<extra_id_0> RC Toulonnais <extra_id_1>
31,319,2012,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Somerset County Cricket Club <extra_id_1>
32,330,2012,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Southampton F.C. <extra_id_1>
33,341,2012,Chauncey Billups plays for <extra_id_0>.,<extra_id_0> Los Angeles Clippers <extra_id_1>
34,346,2012,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Sarmiento de Resistencia <extra_id_1>
35,357,2012,Jermaine O'Neal plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
36,362,2012,Carlos Vela plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
37,372,2012,Nani plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
38,383,2012,Edinson Cavani plays for <extra_id_0>.,<extra_id_0> S.S.C. Napoli <extra_id_1>
39,394,2012,Steve Morison plays for <extra_id_0>.,<extra_id_0> Wales national association football team <extra_id_1>
40,405,2012,Sam Bradford plays for <extra_id_0>.,<extra_id_0> Los Angeles Rams <extra_id_1>
41,416,2012,Eiji Kawashima plays for <extra_id_0>.,<extra_id_0> Standard Liège <extra_id_1>
42,427,2012,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
43,438,2012,Lee Boylan plays for <extra_id_0>.,<extra_id_0> A.F.C. Sudbury <extra_id_1>
44,443,2012,Jennison Myrie-Williams plays for <extra_id_0>.,<extra_id_0> Port Vale F.C. <extra_id_1>
45,449,2012,Omar Abdulrahman plays for <extra_id_0>.,<extra_id_0> United Arab Emirates national under-23 football team <extra_id_1>
46,460,2012,Jarryd Hayne plays for <extra_id_0>.,<extra_id_0> Australia national rugby league team <extra_id_1>
47,465,2012,Tom Ince plays for <extra_id_0>.,<extra_id_0> Blackpool F.C. <extra_id_1>
48,471,2012,Shahid Afridi plays for <extra_id_0>.,<extra_id_0> Melbourne Renegades <extra_id_1>
49,482,2012,Kostas Manolas plays for <extra_id_0>.,<extra_id_0> Olympiacos F.C. <extra_id_1>
50,493,2012,Diego Forlán plays for <extra_id_0>.,<extra_id_0> Inter Milan <extra_id_1>
51,504,2012,Rafael van der Vaart plays for <extra_id_0>.,<extra_id_0> Hamburger SV <extra_id_1>
52,517,2012,Jens Voigt plays for <extra_id_0>.,<extra_id_0> Trek-Segafredo <extra_id_1>
53,522,2012,Sue Bird plays for <extra_id_0>.,<extra_id_0> UMMC Ekaterinburg <extra_id_1>
54,527,2012,Vincenzo Nibali plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
55,538,2012,Shane Duffy plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
56,549,2012,Stephen Dobbie plays for <extra_id_0>.,<extra_id_0> Blackpool F.C. <extra_id_1>
57,556,2012,Diego Biseswar plays for <extra_id_0>.,<extra_id_0> Kayserispor <extra_id_1>
58,567,2012,Tillakaratne Dilshan plays for <extra_id_0>.,<extra_id_0> Royal Challengers Bangalore <extra_id_1>
59,572,2012,Yohan Cabaye plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
60,583,2012,Emmanuel Adebayor plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
61,594,2012,Patrick Bamford plays for <extra_id_0>.,<extra_id_0> Nottingham Forest F.C. <extra_id_1>
62,605,2012,Steve Jones plays for <extra_id_0>.,<extra_id_0> AFC Telford United <extra_id_1>
63,616,2012,Mikel John Obi plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
64,627,2012,Maria Jose Altamirano plays for <extra_id_0>.,<extra_id_0> Rabita Baku <extra_id_1>
65,638,2012,Sölvi Ottesen plays for <extra_id_0>.,<extra_id_0> F.C. Copenhagen <extra_id_1>
66,649,2012,Steve Smith Sr. plays for <extra_id_0>.,<extra_id_0> Carolina Panthers <extra_id_1>
67,656,2012,Umar Akmal plays for <extra_id_0>.,<extra_id_0> Sui Northern Gas Pipelines Limited <extra_id_1>
68,667,2012,Kirk Hinrich plays for <extra_id_0>.,<extra_id_0> Chicago Bulls <extra_id_1>
69,681,2012,Jacoby Ellsbury plays for <extra_id_0>.,<extra_id_0> Boston Red Sox <extra_id_1>
