index,original,date,input,output
0,6,2016,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,19,2016,LeBron James plays for <extra_id_0>.,<extra_id_0> Cleveland Cavaliers <extra_id_1>
2,30,2016,Bradley Wiggins plays for <extra_id_0>.,<extra_id_0> Wiggins <extra_id_1>
3,37,2016,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
4,48,2016,Steve Smith plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
5,59,2016,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
6,70,2016,Michael Owen plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
7,77,2016,Erin McLeod plays for <extra_id_0>.,<extra_id_0> FC Rosengård <extra_id_1>
8,88,2016,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
9,102,2016,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
10,113,2016,Vince Carter plays for <extra_id_0>.,<extra_id_0> Memphis Grizzlies <extra_id_1>
11,124,2016,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
12,135,2016,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
13,146,2016,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Netherlands national association football team <extra_id_1>
14,156,2016,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> Sunrisers Hyderabad <extra_id_1>
15,167,2016,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Orlando Pride <extra_id_1>
16,178,2016,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Tinkoff <extra_id_1>
17,189,2016,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Malmö FF <extra_id_1>
18,200,2016,David Dunn plays for <extra_id_0>.,<extra_id_0> Oldham Athletic A.F.C. <extra_id_1>
19,207,2016,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Atlético Madrid <extra_id_1>
20,217,2016,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
21,223,2016,Juan Román Riquelme plays for <extra_id_0>.,<extra_id_0> Boca Juniors <extra_id_1>
22,231,2016,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Portland Trail Blazers <extra_id_1>
23,242,2016,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
24,261,2016,Javier Hernández plays for <extra_id_0>.,<extra_id_0> Bayer 04 Leverkusen <extra_id_1>
25,272,2016,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Futebol Clube do Porto <extra_id_1>
26,279,2016,Karmichael Hunt plays for <extra_id_0>.,<extra_id_0> Queensland Reds <extra_id_1>
27,290,2016,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Carlisle United F.C. <extra_id_1>
28,304,2016,Xabi Alonso plays for <extra_id_0>.,<extra_id_0> FC Bayern Munich <extra_id_1>
29,323,2016,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Lancashire County Cricket Club <extra_id_1>
30,334,2016,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Southampton F.C. <extra_id_1>
31,350,2016,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Sol de América de Formosa <extra_id_1>
32,366,2016,Carlos Vela plays for <extra_id_0>.,<extra_id_0> Real Sociedad <extra_id_1>
33,376,2016,Nani plays for <extra_id_0>.,<extra_id_0> Valencia CF <extra_id_1>
34,387,2016,Edinson Cavani plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
35,398,2016,Steve Morison plays for <extra_id_0>.,<extra_id_0> Millwall F.C. <extra_id_1>
