index,original,date,input,output
0,0,2010,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,11,2010,Shaquille O'Neal plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
2,13,2010,LeBron James plays for <extra_id_0>.,<extra_id_0> Cleveland Cavaliers <extra_id_1>
3,24,2010,Bradley Wiggins plays for <extra_id_0>.,<extra_id_0> Ineos Grenadier <extra_id_1>
4,31,2010,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Lille OSC <extra_id_1>
5,42,2010,Steve Smith plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
6,53,2010,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
7,64,2010,Michael Owen plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
8,71,2010,Erin McLeod plays for <extra_id_0>.,<extra_id_0> Washington Freedom <extra_id_1>
9,82,2010,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
10,91,2010,Dida plays for <extra_id_0>.,<extra_id_0> Associazione Calcio Milan <extra_id_1>
11,96,2010,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
12,107,2010,Vince Carter plays for <extra_id_0>.,<extra_id_0> Phoenix Suns <extra_id_1>
13,118,2010,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Brazil national football team <extra_id_1>
14,129,2010,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national under-17 football team <extra_id_1>
15,140,2010,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
16,150,2010,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> India national cricket team <extra_id_1>
17,161,2010,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Washington Freedom <extra_id_1>
18,172,2010,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
19,183,2010,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
20,194,2010,David Dunn plays for <extra_id_0>.,<extra_id_0> Blackburn Rovers F.C. <extra_id_1>
21,201,2010,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Spain national association football team <extra_id_1>
22,211,2010,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national under-17 football team <extra_id_1>
