index,original,date,input,output
0,3,2013,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,16,2013,LeBron James plays for <extra_id_0>.,<extra_id_0> Miami Heat <extra_id_1>
2,27,2013,Bradley Wiggins plays for <extra_id_0>.,<extra_id_0> Ineos Grenadier <extra_id_1>
3,34,2013,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
4,45,2013,Steve Smith plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
5,56,2013,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
6,67,2013,Michael Owen plays for <extra_id_0>.,<extra_id_0> Stoke City F.C. <extra_id_1>
7,74,2013,Erin McLeod plays for <extra_id_0>.,<extra_id_0> Dalsjöfors GoIF <extra_id_1>
8,85,2013,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
9,93,2013,Dida plays for <extra_id_0>.,<extra_id_0> Grêmio Foot-Ball Porto Alegrense <extra_id_1>
10,99,2013,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
11,110,2013,Vince Carter plays for <extra_id_0>.,<extra_id_0> Dallas Mavericks <extra_id_1>
12,121,2013,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Brazil national football team <extra_id_1>
13,132,2013,Harry Kane plays for <extra_id_0>.,<extra_id_0> Leicester City F.C. <extra_id_1>
14,143,2013,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Netherlands national association football team <extra_id_1>
15,153,2013,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> Pune Warriors India <extra_id_1>
16,164,2013,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Tyresö FF <extra_id_1>
17,175,2013,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
18,186,2013,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> West Bromwich Albion F.C. <extra_id_1>
19,197,2013,David Dunn plays for <extra_id_0>.,<extra_id_0> Blackburn Rovers F.C. <extra_id_1>
20,204,2013,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
21,214,2013,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
22,228,2013,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Portland Trail Blazers <extra_id_1>
23,239,2013,James Rodríguez plays for <extra_id_0>.,<extra_id_0> AS Monaco FC <extra_id_1>
24,250,2013,Mashrafe Mortaza plays for <extra_id_0>.,<extra_id_0> Dhaka Dynamites <extra_id_1>
