index,original,date,input,output
0,8,2018,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,21,2018,LeBron James plays for <extra_id_0>.,<extra_id_0> Los Angeles Lakers <extra_id_1>
2,39,2018,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
3,50,2018,Steve Smith plays for <extra_id_0>.,<extra_id_0> Sydney Sixers <extra_id_1>
4,61,2018,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
5,79,2018,Erin McLeod plays for <extra_id_0>.,<extra_id_0> FC Rosengård <extra_id_1>
6,90,2018,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
7,104,2018,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
8,115,2018,Vince Carter plays for <extra_id_0>.,<extra_id_0> Sacramento Kings <extra_id_1>
9,126,2018,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
10,137,2018,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
11,148,2018,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Feyenoord <extra_id_1>
12,158,2018,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> Kings XI Punjab <extra_id_1>
13,169,2018,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Orlando Pride <extra_id_1>
14,180,2018,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Bora-Hansgrohe <extra_id_1>
15,191,2018,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Malmö FF <extra_id_1>
16,209,2018,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Atlético Madrid <extra_id_1>
17,219,2018,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
18,233,2018,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Portland Trail Blazers <extra_id_1>
