index,original,date,input,output
0,1,2011,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Ducati Motor Holding S.p.A. <extra_id_1>
1,12,2011,Shaquille O'Neal plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
2,14,2011,LeBron James plays for <extra_id_0>.,<extra_id_0> Miami Heat <extra_id_1>
3,25,2011,Bradley Wiggins plays for <extra_id_0>.,<extra_id_0> Ineos Grenadier <extra_id_1>
4,32,2011,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Lille OSC <extra_id_1>
5,43,2011,Steve Smith plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
6,54,2011,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
7,65,2011,Michael Owen plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
8,72,2011,Erin McLeod plays for <extra_id_0>.,<extra_id_0> Dalsjöfors GoIF <extra_id_1>
9,83,2011,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
10,97,2011,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
11,108,2011,Vince Carter plays for <extra_id_0>.,<extra_id_0> Dallas Mavericks <extra_id_1>
12,119,2011,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Brazil national football team <extra_id_1>
13,130,2011,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national under-19 football team <extra_id_1>
14,141,2011,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
15,151,2011,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> India national cricket team <extra_id_1>
16,162,2011,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Western New York Flash <extra_id_1>
17,173,2011,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
18,184,2011,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
19,195,2011,David Dunn plays for <extra_id_0>.,<extra_id_0> Blackburn Rovers F.C. <extra_id_1>
20,202,2011,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
21,212,2011,Paul Pogba plays for <extra_id_0>.,<extra_id_0> Suceava <extra_id_1>
22,226,2011,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Weber State Wildcats men's basketball <extra_id_1>
23,237,2011,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Colombia national under-20 football team <extra_id_1>
24,248,2011,Darren Lockyer plays for <extra_id_0>.,<extra_id_0> Brisbane Broncos <extra_id_1>
25,256,2011,Javier Hernández plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
26,267,2011,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
27,285,2011,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
28,296,2011,Sourav Ganguly plays for <extra_id_0>.,<extra_id_0> Pune Warriors India <extra_id_1>
29,299,2011,Xabi Alonso plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
30,307,2011,Jonny Wilkinson plays for <extra_id_0>.,<extra_id_0> England national rugby union team <extra_id_1>
31,312,2011,Kyrie Irving plays for <extra_id_0>.,<extra_id_0> Duke Blue Devils men's basketball <extra_id_1>
32,318,2011,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Somerset County Cricket Club <extra_id_1>
33,329,2011,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Japan national football team <extra_id_1>
34,340,2011,Chauncey Billups plays for <extra_id_0>.,<extra_id_0> Los Angeles Clippers <extra_id_1>
35,345,2011,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Sarmiento de Resistencia <extra_id_1>
36,356,2011,Jermaine O'Neal plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
37,361,2011,Carlos Vela plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
