index,original,date,input,output
0,10,2020,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,23,2020,LeBron James plays for <extra_id_0>.,<extra_id_0> Los Angeles Lakers <extra_id_1>
2,41,2020,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
3,52,2020,Steve Smith plays for <extra_id_0>.,<extra_id_0> Sydney Sixers <extra_id_1>
4,63,2020,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
5,81,2020,Erin McLeod plays for <extra_id_0>.,<extra_id_0> FC Rosengård <extra_id_1>
6,106,2020,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Houston Rockets <extra_id_1>
7,117,2020,Vince Carter plays for <extra_id_0>.,<extra_id_0> Atlanta Hawks <extra_id_1>
8,128,2020,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
9,139,2020,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
10,160,2020,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> Kings XI Punjab <extra_id_1>
11,171,2020,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Orlando Pride <extra_id_1>
12,182,2020,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Bora-Hansgrohe <extra_id_1>
13,193,2020,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Malmö FF <extra_id_1>
14,221,2020,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
15,235,2020,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Portland Trail Blazers <extra_id_1>
16,246,2020,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
17,254,2020,Mashrafe Mortaza plays for <extra_id_0>.,<extra_id_0> Rangpur Riders <extra_id_1>
18,265,2020,Javier Hernández plays for <extra_id_0>.,<extra_id_0> Los Angeles Galaxy <extra_id_1>
19,276,2020,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Futebol Clube do Porto <extra_id_1>
20,283,2020,Karmichael Hunt plays for <extra_id_0>.,<extra_id_0> Queensland Reds <extra_id_1>
21,294,2020,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Carlisle United F.C. <extra_id_1>
