index,original,date,input,output
0,9,2019,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,22,2019,LeBron James plays for <extra_id_0>.,<extra_id_0> Los Angeles Lakers <extra_id_1>
2,40,2019,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
3,51,2019,Steve Smith plays for <extra_id_0>.,<extra_id_0> Sydney Sixers <extra_id_1>
4,62,2019,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
5,80,2019,Erin McLeod plays for <extra_id_0>.,<extra_id_0> FC Rosengård <extra_id_1>
6,105,2019,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Houston Rockets <extra_id_1>
7,116,2019,Vince Carter plays for <extra_id_0>.,<extra_id_0> Atlanta Hawks <extra_id_1>
8,127,2019,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
9,138,2019,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
10,149,2019,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Feyenoord <extra_id_1>
11,159,2019,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> Kings XI Punjab <extra_id_1>
12,170,2019,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Orlando Pride <extra_id_1>
13,181,2019,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Bora-Hansgrohe <extra_id_1>
14,192,2019,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Malmö FF <extra_id_1>
15,210,2019,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Sagan Tosu <extra_id_1>
16,220,2019,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
17,234,2019,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Portland Trail Blazers <extra_id_1>
18,245,2019,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
19,253,2019,Mashrafe Mortaza plays for <extra_id_0>.,<extra_id_0> Rangpur Riders <extra_id_1>
20,264,2019,Javier Hernández plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
21,275,2019,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Futebol Clube do Porto <extra_id_1>
22,282,2019,Karmichael Hunt plays for <extra_id_0>.,<extra_id_0> Queensland Reds <extra_id_1>
23,293,2019,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Carlisle United F.C. <extra_id_1>
24,315,2019,Kyrie Irving plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
25,326,2019,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Lancashire County Cricket Club <extra_id_1>
26,337,2019,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Southampton F.C. <extra_id_1>
27,353,2019,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Sol de América de Formosa <extra_id_1>
28,368,2019,Carlos Vela plays for <extra_id_0>.,<extra_id_0> C.D. Guadalajara <extra_id_1>
29,379,2019,Nani plays for <extra_id_0>.,<extra_id_0> Sporting CP <extra_id_1>
30,390,2019,Edinson Cavani plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
31,401,2019,Steve Morison plays for <extra_id_0>.,<extra_id_0> Millwall F.C. <extra_id_1>
32,412,2019,Sam Bradford plays for <extra_id_0>.,<extra_id_0> Philadelphia Eagles <extra_id_1>
33,423,2019,Eiji Kawashima plays for <extra_id_0>.,<extra_id_0> FC Metz <extra_id_1>
34,434,2019,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> OGC Nice <extra_id_1>
35,456,2019,Omar Abdulrahman plays for <extra_id_0>.,<extra_id_0> United Arab Emirates national football team <extra_id_1>
36,478,2019,Shahid Afridi plays for <extra_id_0>.,<extra_id_0> Melbourne Renegades <extra_id_1>
37,489,2019,Kostas Manolas plays for <extra_id_0>.,<extra_id_0> A.S. Roma <extra_id_1>
38,500,2019,Diego Forlán plays for <extra_id_0>.,<extra_id_0> Club Atlético Cottolengo Don Orione <extra_id_1>
39,511,2019,Rafael van der Vaart plays for <extra_id_0>.,<extra_id_0> Real Betis Balompié <extra_id_1>
40,534,2019,Vincenzo Nibali plays for <extra_id_0>.,<extra_id_0> Bahrain-McLaren <extra_id_1>
41,545,2019,Shane Duffy plays for <extra_id_0>.,<extra_id_0> Republic of Ireland national association football team <extra_id_1>
42,563,2019,Diego Biseswar plays for <extra_id_0>.,<extra_id_0> Kayserispor <extra_id_1>
43,579,2019,Yohan Cabaye plays for <extra_id_0>.,<extra_id_0> A.S. Saint-Étienne <extra_id_1>
44,590,2019,Emmanuel Adebayor plays for <extra_id_0>.,<extra_id_0> Kayserispor <extra_id_1>
45,601,2019,Patrick Bamford plays for <extra_id_0>.,<extra_id_0> Norwich City F.C. <extra_id_1>
46,612,2019,Steve Jones plays for <extra_id_0>.,<extra_id_0> Nantwich Town F.C. <extra_id_1>
47,623,2019,Mikel John Obi plays for <extra_id_0>.,<extra_id_0> Middlesbrough F.C. <extra_id_1>
48,634,2019,Maria Jose Altamirano plays for <extra_id_0>.,<extra_id_0> Lokomotiv Baku <extra_id_1>
49,645,2019,Sölvi Ottesen plays for <extra_id_0>.,<extra_id_0> Wuhan Zall F.C. <extra_id_1>
50,663,2019,Umar Akmal plays for <extra_id_0>.,<extra_id_0> Lahore Qalandars <extra_id_1>
51,677,2019,Deshaun Watson plays for <extra_id_0>.,<extra_id_0> Houston Texans <extra_id_1>
52,688,2019,Jacoby Ellsbury plays for <extra_id_0>.,<extra_id_0> New York Yankees <extra_id_1>
53,698,2019,Raúl Jiménez plays for <extra_id_0>.,<extra_id_0> Mexico national football team <extra_id_1>
54,705,2019,Tyler Ulis plays for <extra_id_0>.,<extra_id_0> Sacramento Kings <extra_id_1>
55,715,2019,Mathieu Valbuena plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
56,729,2019,Kylian Mbappé plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
57,740,2019,Jimmy Abdou plays for <extra_id_0>.,<extra_id_0> Comoros national football team <extra_id_1>
58,751,2019,Ashley Cole plays for <extra_id_0>.,<extra_id_0> Derby County F.C. <extra_id_1>
59,765,2019,Calais Campbell plays for <extra_id_0>.,<extra_id_0> Jacksonville Jaguars <extra_id_1>
60,769,2019,Jamal Crawford plays for <extra_id_0>.,<extra_id_0> Phoenix Suns <extra_id_1>
61,789,2019,Gary Cahill plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
62,800,2019,J. J. Redick plays for <extra_id_0>.,<extra_id_0> Philadelphia 76ers <extra_id_1>
63,811,2019,James Taylor plays for <extra_id_0>.,<extra_id_0> Nottinghamshire County Cricket Club <extra_id_1>
64,828,2019,Callum Ferguson plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
65,844,2019,Hamdi Salihi plays for <extra_id_0>.,<extra_id_0> SC Wiener Neustadt <extra_id_1>
66,855,2019,Clayton Donaldson plays for <extra_id_0>.,<extra_id_0> Bradford City A.F.C. <extra_id_1>
67,866,2019,Rangana Herath plays for <extra_id_0>.,<extra_id_0> Tamil Union Cricket and Athletic Club <extra_id_1>
68,883,2019,Kevin Trapp plays for <extra_id_0>.,<extra_id_0> Eintracht Frankfurt <extra_id_1>
69,892,2019,Kristaps Porziņģis plays for <extra_id_0>.,<extra_id_0> New York Knicks <extra_id_1>
